,full_word,pt1,rest
0,վարակվելու,վարակվել,ու
1,ձեռքը,ձեռք,ը
2,զվարճությունների,զվարճություն,ների
3,նկարներին,նկար,ներին
4,աղջիկը,աղջիկ,ը
5,ջանը,ջան,ը
6,կերուխումները,կերուխում,ները
7,տարածքում,տարածք,ում
8,լրագրողների,լրագրող,ների
9,կետը,կետ,ը
10,հայուհիներին,հայուհի,ներին
11,ներկայացնելու,ներկայացնել,ու
12,լրատվականների,լրատվական,ների
13,ստվերները,ստվեր,ները
14,հաստիքները,հաստիք,ները
15,չափից,չափ,ից
16,մրցանակը,մրցանակ,ը
17,վերջում,վերջ,ում
18,երեխաներին,երեխա,ներին
19,Քոլմանը,Քոլման,ը
20,պատճառաբանությունները,պատճառաբանություն,ները
21,հարցադրումների,հարցադրում,ների
22,մատիտանկարները,մատիտանկար,ները
23,անձը,անձ,ը
24,արդյունքներով,արդյունք,ներով
25,գլուխգովանությունը,գլուխգովանություն,ը
26,մահացածների,մահացած,ների
27,հարևաններն,հարևան,ներն
28,Տիտանյանին,Տիտանյան,ին
29,ակնածանքը,ակնածանք,ը
30,ամենամեծ,ամենա,մեծ
31,գրականությունը,գրականություն,ը
32,երգոց,երգ,ոց
33,շահառուների,շահառու,ների
34,Սարյանը,Սարյան,ը
35,վաճառքի,վաճառք,ի
36,ճանապարհին,ճանապարհ,ին
37,դերերում,դեր,երում
38,հարցադրումներին,հարցադրում,ներին
39,տեսանկյունից,տեսանկյուն,ից
40,կրկնվելու,կրկնվել,ու
41,գրականագետների,գրականագետ,ների
42,բաժնետոմսերը,բաժնետոմ,սերը
43,տանելու,տանել,ու
44,հորաքույրը,հորաքույր,ը
45,պայմանագիրը,պայմանագիր,ը
46,մակերեսը,մակերես,ը
47,Տրոցենկոն,Տրոցենկո,ն
48,նախապաշարմունքն,նախապաշարմունք,ն
49,հոդվածին,հոդված,ին
50,փոփոխությունից,փոփոխություն,ից
51,Ռուսաստանի,Ռուսաստան,ի
52,մրցանակի,մրցանակ,ի
53,Կինսկիից,Կինսկի,ից
54,միջոցներով,միջոց,ներով
55,ձայնով,ձայն,ով
