,full_word,pt1,rest
0,Zapaterok,Zapatero,k
1,bazterrera,bazter,rera
2,aproposak,apropos,ak
3,aukeratuko,aukeratu,ko
4,estradizioak,estradizio,ak
5,Kosovotik,Kosovo,tik
6,tea,te,a
7,herenegungo,herenegun,go
8,harrapaketak,harrapaketa,k
9,ikerlariak,ikerlari,ak
10,egokitasunak,egokitasun,ak
11,inguruetako,inguru,etako
12,eskolan,eskola,n
13,irainak,irain,ak
14,ospetsuak,ospetsu,ak
15,UEFAk,UEFA,k
16,Antonioko,Antonio,ko
17,egurra,egur,ra
18,buztinezko,buztin,ezko
19,beranta,berant,a
20,arrantzaleei,arrantzale,ei
21,lurrazaletik,lurrazal,etik
22,odolean,odol,ean
23,landareekin,landare,ekin
24,ingurugiroarentzat,ingurugiro,arentzat
25,erneagoak,erne,agoak
26,burua,buru,a
27,galerak,galera,k
28,sistemari,sistema,ri
29,martxan,martxa,n
30,bestelakoa,bestelako,a
31,hirugarrengoan,hirugarren,goan
32,oinatzak,oinatz,ak
33,Suduperi,Sudupe,ri
34,baldintzatua,baldintzatu,a
35,sasoiarekin,sasoi,arekin
36,prozesuak,prozesu,ak
37,mahastiak,mahasti,ak
38,kideak,kide,ak
39,leherketan,leherketa,n
40,gaiari,gai,ari
41,Lotinak,Lotina,k
42,Verbruggenek,Verbruggen,ek
43,dopina,dopin,a
44,guztien,guzti,en
45,liderrarengandik,lider,rarengandik
46,Korsikako,Korsika,ko
47,aurrekontuetako,aurrekontu,etako
48,aitzinekoen,aitzineko,en
49,ezberdina,ezberdin,a
50,erlojupekoa,erlojupeko,a
51,arazoa,arazo,a
52,betetzea,bete,tzea
53,fusioen,fusio,en
54,metroko,metro,ko
55,Abaituak,Abaitua,k
56,NSK-k,NSK,-k
57,metroetan,metro,etan
58,erretiratuak,erretiratu,ak
59,erliebearen,erliebe,aren
60,familiarekin,familia,rekin
61,ororen,oro,ren
62,kargua,kargu,a
63,zuzenarekiko,zuzen,arekiko
64,Likudeko,Likud,eko
65,Antequerak,Antequera,k
66,Mikelek,Mikel,ek
67,enkargatua,enkargatu,a
68,buruek,buru,ek
69,tropelburuan,tropelburu,an
70,bizipoza,bizipoz,a
71,berarengandik,bera,rengandik
72,gairik,gai,rik
73,ministroak,ministro,ak
74,biribila,biribil,a
75,egurretik,egur,retik
76,bilduta,bildu,ta
77,literaturaren,literatura,ren
78,sozialaz,sozial,az
79,begiratokiak,begiratoki,ak
80,aitzinean,aitzin,ean
81,Parmako,Parma,ko
82,zuzendarirentzako,zuzendari,rentzako
83,trekkinga,trekking,a
84,aurkaria,aurkari,a
85,ministroarekin,ministro,arekin
86,pobreena,pobre,ena
87,baketzerako,baketze,rako
88,gailuaren,gailu,aren
89,soldataren,soldata,ren
90,hiltzeko,hil,tzeko
91,Bidanian,Bidania,n
92,ezkutatuta,ezkutatu,ta
93,gorpua,gorpu,a
94,Mendiluzek,Mendiluze,k
95,bateratuak,bateratu,ak
96,saioa,saio,a
97,zentzurik,zentzu,rik
98,boxeoan,boxeo,an
99,ospakizunetako,ospakizun,etako
100,Loidisaletxeri,Loidisaletxe,ri
101,Maradonari,Maradona,ri
102,Goenatxorekin,Goenatxo,rekin
103,zutikakoak,zutikako,ak
104,prestakuntzak,prestakuntza,k
105,erradiografiak,erradiografia,k
106,zaharren,zahar,ren
107,dohainak,dohain,ak
108,bakoitzean,bakoitz,ean
109,negoziaketak,negoziaketa,k
110,etenik,eten,ik
111,karguetan,kargu,etan
112,kiloetakoek,kilo,etakoek
113,bilatuz,bilatu,z
114,hasieratik,hasiera,tik
115,hegala,hegal,a
116,frankofonoek,frankofono,ek
117,zuria,zuri,a
118,britainiarrak,britainiar,rak
119,erakustaldia,erakustaldi,a
120,Nartxirena,Nartxi,rena
121,irekitzen,ireki,tzen
122,Osasunarekin,Osasuna,rekin
123,azpian,azpi,an
124,titularrean,titular,rean
125,etorritakoek,etorri,takoek
126,"Tubabu""k",Tubabu,"""k"
127,hauteskundeetara,hauteskunde,etara
128,lan-astearen,lan-aste,aren
129,palestinarrei,palestinar,rei
130,zaleei,zale,ei
131,onarekin,on,arekin
132,ezagunena,ezagun,ena
133,erreformari,erreforma,ri
134,egoera-aldaketak,egoera-aldaketa,k
135,anonimoak,anonimo,ak
136,kokina,kokin,a
137,agortutako,agortu,tako
138,goizago,goiz,ago
139,errekonozimendua,errekonozimendu,a
140,Manriquek,Manrique,k
141,hegoaldean,hegoalde,an
142,subiranotasunari,subiranotasun,ari
143,Udalbiltzarentzat,Udalbiltza,rentzat
144,isuria,isuri,a
145,ezkorra,ezkor,ra
146,IIan,II,an
147,behetik,behe,tik
148,susperraldiari,susperraldi,ari
149,kiroletan,kirol,etan
150,zehaztasunik,zehaztasun,ik
151,tesietara,tesi,etara
152,buruturikoak,burutu,rikoak
153,gutxitan,gutxi,tan
154,izenik,izen,ik
155,iparraldeko,iparralde,ko
156,PSN,PS,N
157,berarengan,bera,rengan
158,txostenaren,txosten,aren
159,konponezinezko,konponezin,ezko
160,Samoako,Samoa,ko
161,zuzenduta,zuzendu,ta
162,Joxek,Joxe,k
163,mendeurrenean,mendeurren,ean
164,frantsesetik,frantses,etik
165,baimena,baimen,a
166,Putinen,Putin,en
167,elikagaiek,elikagai,ek
168,errekuperatuko,errekuperatu,ko
169,Madrilek,Madril,ek
170,udako,uda,ko
171,eleberria,eleberri,a
172,izenbururekin,izenburu,rekin
173,demokratak,demokrata,k
174,bilduko,bildu,ko
175,lituaniarra,lituaniar,ra
176,egileak,egile,ak
177,pasaportea,pasaporte,a
178,Schaeublek,Schaeuble,k
179,arlokoa,arlo,koa
180,urritik,urri,tik
181,puntuaketan,puntuaketa,n
182,errebotea,errebote,a
183,gomazko,goma,zko
184,zimurtuz,zimurtu,z
185,fenomenoaren,fenomeno,aren
186,brontzearekin,brontze,arekin
187,Leonen,Leon,en
188,ordenatuta,ordenatu,ta
189,ordainduz,ordaindu,z
190,abortua,abortu,a
191,oinarria,oinarri,a
192,Sanzek,Sanz,ek
193,Sorensenek,Sorensen,ek
194,ofizialek,ofizial,ek
195,materia-zatirik,materia-zati,rik
196,erabakiak,erabaki,ak
197,abertzaleen,abertzale,en
198,kontserbadoreek,kontserbadore,ek
199,Moskura,Mosku,ra
200,urduria,urduri,a
201,erretiroko,erretiro,ko
202,faboritoek,faborito,ek
