,full_word,pt1,rest
0,вятърът,вятър,ът
1,ураганът,ураган,ът
2,посланическите,посланически,те
3,затвора,затвор,а
4,приемат,приема,т
5,мъжествеността,мъжественост,та
6,инициаторът,инициатор,ът
7,караулът,караул,ът
8,патриархът,патриарх,ът
9,региона,регион,а
10,представителят,представител,ят
11,инвалиди,инвалид,и
12,спектакъла,спектакъл,а
13,волности,волност,и
14,ядрената,ядрен,ата
15,купувачът,купувач,ът
16,унгарецът,унгарец,ът
17,изборите,избор,ите
18,театърът,театър,ът
19,споразумението,споразумение,то
20,отговори,отговор,и
21,призован,призова,н
22,аржентинеца,аржентинец,а
23,автопарка,автопарк,а
24,гласял,глася,л
25,нарядите,наряд,ите
26,отказа,отказ,а
27,широките,широк,ите
28,черните,чер,ните
29,пиесата,пиеса,та
30,веселата,весел,ата
31,семинара,семинар,а
32,независима,независим,а
33,откупа,откуп,а
34,прибързана,прибързан,а
35,правосъдието,правосъдие,то
36,страдаме,страдам,е
37,мирът,мир,ът
38,практическите,практически,те
39,коридори,коридор,и
40,безнадеждността,безнадеждност,та
41,цигуларя,цигулар,я
42,респондентите,респондент,ите
43,спринта,спринт,а
44,деловодството,деловодство,то
45,по-добър,по-,добър
46,шофьорът,шофьор,ът
47,курсанти,курсант,и
48,пияни,пиян,и
49,милите,мил,ите
50,грубо,груб,о
51,всекиго,всеки,го
52,икономическия,икономически,я
53,маркетингово,маркетингов,о
54,дотогава,до,тогава
55,интересът,интерес,ът
56,лидерът,лидер,ът
57,силата,сила,та
58,висшестоящия,висшестоящ,ия
59,по-малък,по-,малък
60,глухи,глух,и
61,стара,стар,а
62,изберат,избера,т
63,атмосферата,атмосфера,та
64,хубавото,хубав,ото
65,акционерите,акционер,ите
66,октомврийския,октомврийски,я
67,заинтересовани,заинтересован,и
68,техническите,технически,те
69,помощник-треньорът,помощник-треньор,ът
70,ексшампионите,ексшампион,ите
71,останал,остана,л
72,мотивацията,мотивация,та
73,погледнаха,погледна,ха
74,плакати,плакат,и
75,разширяването,разширяване,то
76,протести,протест,и
77,брифинга,брифинг,а
78,тежат,тежа,т
79,дървения,дървен,ия
80,трезора,трезор,а
81,утихването,утихване,то
82,газоснабдяването,газоснабдяване,то
83,възлагането,възлагане,то
84,трудностите,трудност,ите
85,стигнал,стигна,л
86,разказа,разказ,а
87,погледа,поглед,а
88,намалението,намаление,то
89,електропроводи,електропровод,и
90,радиатори,радиатор,и
91,посещаваме,посещавам,е
92,месопреработвателите,месопреработвател,ите
93,княза,княз,а
94,мира,мир,а
95,инспектората,инспекторат,а
96,пеленачетата,пеленаче,тата
97,помогнат,помогна,т
98,високата,висок,ата
99,главата,глава,та
100,въстанието,въстание,то
101,английският,английски,ят
102,употребата,употреба,та
103,имуществените,имуществен,ите
104,числото,число,то
105,джамията,джамия,та
106,представлението,представление,то
107,сръбския,сръбски,я
108,кримиисторията,кримиистория,та
109,разговорът,разговор,ът
110,мъже,мъж,е
111,небето,небе,то
112,успехите,успех,ите
113,задачата,задача,та
114,поста,пост,а
115,знаменитости,знаменитост,и
116,вината,вина,та
117,левскарите,левскар,ите
118,посетят,посетя,т
119,кореспондента,кореспондент,а
120,завода,завод,а
121,периферията,периферия,та
122,факти,факт,и
123,ултранационалистът,ултранационалист,ът
124,глината,глина,та
125,икономисти,икономист,и
126,казачокът,казачок,ът
127,по-ясно,по-,ясно
128,нашия,наш,ия
129,месеца,месец,а
130,Най-слабо,Най-,слабо
131,дебютът,дебют,ът
132,открити,открит,и
133,опасността,опасност,та
134,по-близко,по-,близко
135,избягаме,избягам,е
136,демократът,демократ,ът
137,бъдещето,бъдеще,то
138,следствените,следствен,ите
139,полицейските,полицейски,те
140,горският,горски,ят
141,ръба,ръб,а
142,немските,немски,те
143,Най-тежък,Най-,тежък
144,вечерта,вечер,та
145,французинът,французин,ът
146,процеса,процес,а
147,сметката,сметка,та
148,укази,указ,и
149,културно-историческите,културно-исторически,те
150,страницата,страница,та
151,бърза,бърз,а
152,закона,закон,а
153,топчета,топче,та
154,тръбата,тръба,та
155,купувачи,купувач,и
156,сержанти,сержант,и
157,фуражката,фуражка,та
158,кокошката,кокошка,та
159,оборотът,оборот,ът
160,реденето,редене,то
161,заглъхналия,заглъхна,лия
162,работодателските,работодателски,те
163,заболеят,заболея,т
164,бракът,брак,ът
165,канавката,канавка,та
166,командири,командир,и
167,плагиатството,плагиатство,то
168,потвърждението,потвърждение,то
169,великите,велик,ите
170,писмена,писмен,а
171,присъединяването,присъединяване,то
172,възглавницата,възглавница,та
173,французина,французин,а
174,смахнатият,смахнат,ият
175,дебитите,дебит,ите
176,словенските,словенски,те
177,футуристи,футурист,и
178,Най-голям,Най-,голям
179,кралете,крал,ете
180,лагера,лагер,а
181,подкупи,подкуп,и
182,стремежа,стремеж,а
183,помощта,помощ,та
184,зимата,зима,та
185,нашите,наш,ите
186,сбиването,сбиване,то
187,адвокатите,адвокат,ите
