,full_word,pt1,rest
0,gibayad,gi,bayad
1,Gitawag,Gi,tawag
2,magtuon,mag,tuon
3,paliti,palit,i
4,pagpataka,pag,pataka
5,Maayo,Ma,ayo
6,nako,n,ako
7,padulong,pa,dulong
8,siyay,siya,y
9,magparty,mag,party
10,ting-init,ting-,init
11,Mubalik,Mu,balik
12,Tagpila,Tag,pila
13,Pagdali,Pag,dali
14,Kadali,Ka,dali
15,Mulakaw,Mu,lakaw
16,nitan-aw,ni,tan-aw
17,muinom,mu,inom
18,mahimo,ma,himo
19,muadto,mu,adto
20,nikaon,ni,kaon
21,nibasa,ni,basa
22,musayaw,mu,sayaw
23,Nagtahi,Nag,tahi
24,kamiy,kami,y
25,pagkaon,pag,kaon
26,ipasa,i,pasa
27,Naghuna,Nag,huna
28,moadto,mo,adto
29,Tigdala,Tig,dala
30,Nakuha,Na,kuha
31,Gikuha,Gi,kuha
32,Ningsaad,Ning,saad
33,tabangan,tabang,an
34,niambak,ni,ambak
35,malipong,ma,lipong
36,Pagkahuman,Pagka,human
37,nilabay,ni,labay
38,gatindog,ga,tindog
39,gidala,gi,dala
40,Naguul,Na,guul
41,magminyo,mag,minyo
42,himo-an,himo,-an
43,kaila,ka,ila
44,imoha,imo,ha
45,nagbuhi,nag,buhi
46,mokaon,mo,kaon
47,moinom,mo,inom
48,Magtigom,Mag,tigom
49,Naglalis,Nag,lalis
50,Nagsabot,Nag,sabot
51,Mohulat,Mo,hulat
52,nagtan-aw,nag,tan-aw
53,Nawala,Na,wala
54,ganahan,gana,han
55,Gi-hold,Gi-,hold
56,giila,gi,ila
57,Nasuka,Na,suka
58,Magpabilin,Magpa,bilin
59,Nasudlan,Na,sudlan
60,Gibutang,Gi,butang
61,milabay,mi,labay
62,pag-abot,pag-,abot
63,iyaha,iya,ha
64,magsakay,mag,sakay
65,Ipalit,I,palit
66,pinakataas,pinaka,taas
67,lenggwahea,lenggwahe,a
68,nagalgal,na,galgal
69,matanga,matang,a
70,nagtuo,nag,tuo
71,mahimuot,ma,himuot
72,mosilaob,mo,silaob
73,intawon,in,tawon
74,Nakamedalya,Naka,medalya
75,nakakita,naka,kita
76,tunghaan,tungha,an
77,mitigulang,mi,tigulang
78,Gihigugma,Gihi,gugma
79,masayod,ma,sayod
80,ing-ana,ing-,ana
81,kadugay,ka,dugay
82,pinaabot,pina,abot
83,duawon,duaw,on
84,moabri,mo,abri
85,tindahan,tinda,han
86,mobiya,mo,biya
87,pay,pa,y
88,buhaton,buhat,on
89,Moabot,Mo,abot
90,kabalo,ka,balo
91,Gikinahanglan,Gi,kinahanglan
92,Mouli,Mo,uli
93,Nabasa,Na,basa
94,miulan,mi,ulan
95,Nakahukom,Naka,hukom
96,magpaabot,magpa,abot
97,gipatay,gi,patay
98,Gibuhat,Gi,buhat
99,gibahad,gi,bahad
100,Gidungog,Gi,dungog
101,makighinabi,makig,hinabi
102,Gibilanggo,Gi,bilanggo
103,Nadato,Na,dato
104,mipasiugda,mipasi,ugda
105,Molarga,Mo,larga
106,paadto,pa,adto
107,inusara,in,usara
108,gibuhat,gi,buhat
109,katabang,ka,tabang
110,Gipakabasura,Gipaka,basura
111,Nag-unsa,Nag-,unsa
112,moeskuyla,mo,eskuyla
113,naulahi,na,ulahi
114,Nagkahushos,Nagka,hushos
115,Naibog,Na,ibog
116,Mobalik,Mo,balik
117,kaguol,ka,guol
118,kasabot,ka,sabot
119,nay,na,y
120,mihilak,mi,hilak
121,giluwas,gi,luwas
122,nasunog,na,sunog
123,ipasabot,ipa,sabot
124,Giuhaw,Gi,uhaw
125,gihigugma,gihi,gugma
126,Pag-ayo,Pag-,ayo
127,Gigutom,Gi,gutom
128,Mag-unsa,Mag-,unsa
129,Nakabantay,Naka,bantay
130,koy,ko,y
