,full_word,pt1,rest
0,lighted,light,ed
1,cherished,cherish,ed
2,uploads,upload,s
3,metrics,metric,s
4,ornamented,ornament,ed
5,Combined,Combine,d
6,unearthed,unearth,ed
7,domesticated,domesticate,d
8,Don'ts,Don't,s
9,revolves,revolve,s
10,confirmations,confirmation,s
11,nipped,nip,ped
12,maniacs,maniac,s
13,pulls,pull,s
14,composed,compose,d
15,tricks,trick,s
16,discharged,discharge,d
17,blogging,blog,ging
18,suggested,suggest,ed
19,dinging,ding,ing
20,ranks,rank,s
21,gathered,gather,ed
22,skills,skill,s
23,rescued,rescue,d
24,meant,mean,t
25,ideas,idea,s
26,chutes,chute,s
27,housed,house,d
28,wished,wish,ed
29,affects,affect,s
30,YouTubers,YouTuber,s
31,predators,predator,s
32,deductions,deduction,s
33,snitches,snitch,es
34,invested,invest,ed
35,checked,check,ed
36,loses,lose,s
37,interviewed,interview,ed
38,meetups,meetup,s
39,missiles,missile,s
40,owls,owl,s
41,Mesoamericans,Mesoamerican,s
42,actresses,actress,es
43,banned,ban,ned
44,paused,pause,d
45,exceeded,exceed,ed
46,catches,catch,es
47,searches,search,es
48,advanced,advance,d
49,boots,boot,s
50,clogs,clog,s
51,fours,four,s
52,agents,agent,s
53,fruits,fruit,s
54,hanging,hang,ing
55,deducted,deduct,ed
56,noons,noon,s
57,cleaned,clean,ed
58,fears,fear,s
59,passed,pass,ed
60,clouds,cloud,s
61,showing,show,ing
62,proceeds,proceed,s
63,depictions,depiction,s
64,lifestyles,lifestyle,s
65,transformed,transform,ed
66,perks,perk,s
67,punching,punch,ing
68,endemics,endemic,s
69,gardeners,gardener,s
70,damaged,damage,d
71,noses,nose,s
72,simplest,simple,st
73,crocodilians,crocodilian,s
74,branches,branch,es
75,lapping,lap,ping
76,grabbing,grab,bing
77,turning,turn,ing
78,fakes,fake,s
79,geared,gear,ed
80,attempting,attempt,ing
81,hooking,hook,ing
82,conditions,condition,s
83,highest,high,est
84,expressing,express,ing
85,distortions,distortion,s
86,departures,departure,s
87,swelling,swell,ing
88,expects,expect,s
89,deploying,deploy,ing
90,desired,desire,d
91,wandering,wander,ing
92,folding,fold,ing
93,systems,system,s
94,Victors,Victor,s
95,pushed,push,ed
96,committees,committee,s
97,Beings,Being,s
98,emailed,email,ed
99,squared,square,d
100,Shires,Shire,s
101,thirds,third,s
102,fields,field,s
103,massages,massage,s
104,cuttings,cutting,s
105,loads,load,s
106,intrudes,intrude,s
107,magicians,magician,s
108,details,detail,s
109,copying,copy,ing
110,forced,force,d
111,forces,force,s
112,basters,baster,s
113,outfits,outfit,s
114,beefing,beef,ing
115,cornerstones,cornerstone,s
116,switched,switch,ed
117,died,die,d
118,humanists,humanist,s
119,divided,divide,d
120,peoples,people,s
121,directed,direct,ed
122,laced,lace,d
123,advertisers,advertiser,s
124,unfolded,unfold,ed
125,analyzes,analyze,s
126,admins,admin,s
127,websites,website,s
128,buying,buy,ing
129,makers,maker,s
130,pushing,push,ing
131,observations,observation,s
132,cooking,cook,ing
133,kicking,kick,ing
134,fathers,father,s
135,landed,land,ed
136,filed,file,d
137,maintains,maintain,s
138,weaknesses,weakness,es
139,victims,victim,s
140,feeling,feel,ing
141,headlines,headline,s
142,expanding,expand,ing
143,carpets,carpet,s
144,Columns,Column,s
145,intending,intend,ing
146,drooling,drool,ing
147,plays,play,s
148,signing,sign,ing
149,ablest,able,st
150,treated,treat,ed
151,invented,invent,ed
152,Springs,Spring,s
153,snippets,snippet,s
154,initiated,initiate,d
155,donuts,donut,s
156,backs,back,s
157,escapades,escapade,s
158,crying,cry,ing
159,exams,exam,s
160,mosques,mosque,s
161,fanfics,fanfic,s
162,funds,fund,s
163,bludgers,bludger,s
164,handed,hand,ed
165,loaded,load,ed
166,dockworkers,dockworker,s
167,answering,answer,ing
168,attributed,attribute,d
169,responded,respond,ed
170,sonnets,sonnet,s
171,concerts,concert,s
172,drafted,draft,ed
173,crossroads,crossroad,s
174,sipping,sip,ping
175,blindfolded,blindfold,ed
176,campaigns,campaign,s
177,indicators,indicator,s
178,plans,plan,s
179,boulders,boulder,s
180,blended,blend,ed
181,injured,injure,d
182,resigned,resign,ed
183,bartending,bartend,ing
184,crumbs,crumb,s
185,Esports,Esport,s
186,Melted,Melt,ed
187,meters,meter,s
188,tripped,trip,ped
189,swarming,swarm,ing
190,hurts,hurt,s
191,spotted,spot,ted
192,Principles,Principle,s
193,intertexts,intertext,s
194,wars,war,s
195,aided,aid,ed
196,institutions,institution,s
197,rushed,rush,ed
198,holders,holder,s
199,travelled,travel,led
200,politicians,politician,s
201,lawsuits,lawsuit,s
202,jurisdictions,jurisdiction,s
203,foothills,foothill,s
204,pagodas,pagoda,s
205,spending,spend,ing
206,instruments,instrument,s
207,Otters,Otter,s
208,Persians,Persian,s
209,roots,root,s
210,results,result,s
211,houses,house,s
212,charred,char,red
213,scooped,scoop,ed
214,placed,place,d
215,passing,pass,ing
216,poked,poke,d
217,roadshows,roadshow,s
218,experiments,experiment,s
219,hemistichs,hemistich,s
220,schoolchildren,schoolchild,ren
221,Resources,Resource,s
222,credited,credit,ed
223,hundredths,hundredth,s
224,scoured,scour,ed
225,tanins,tanin,s
226,employers,employer,s
227,pioneering,pioneer,ing
228,paying,pay,ing
229,origins,origin,s
230,adapts,adapt,s
231,voted,vote,d
232,returns,return,s
233,follows,follow,s
234,wasting,wast,ing
235,charms,charm,s
236,heights,height,s
237,sandals,sandal,s
238,mammals,mammal,s
239,appearing,appear,ing
240,bounded,bound,ed
241,crosses,cross,es
242,aphorisms,aphorism,s
243,residences,residence,s
244,known,know,n
245,elbows,elbow,s
246,wikis,wiki,s
247,consequences,consequence,s
248,starred,star,red
249,wins,win,s
250,blowing,blow,ing
251,professors,professor,s
252,figures,figure,s
253,scientists,scientist,s
254,respecting,respect,ing
255,curated,curate,d
256,editing,edit,ing
257,ops,op,s
258,tomatoes,tomato,es
259,enhanced,enhance,d
260,complements,complement,s
261,measures,measure,s
262,kebabs,kebab,s
263,predicated,predicate,d
264,struggled,struggle,d
265,audiences,audience,s
266,creaking,creak,ing
267,generated,generate,d
268,inherited,inherit,ed
269,pursuers,pursuer,s
270,pizzerias,pizzeria,s
271,pixies,pixie,s
272,tides,tide,s
273,glyphs,glyph,s
274,symbolized,symbolize,d
275,Christians,Christian,s
276,viewed,view,ed
277,States,State,s
278,buds,bud,s
279,wishes,wish,es
280,billions,billion,s
281,resources,resource,s
282,soared,soar,ed
283,describes,describe,s
284,recommended,recommend,ed
285,creates,create,s
286,smelled,smell,ed
287,medals,medal,s
288,envelopes,envelope,s
289,regimes,regime,s
290,thinned,thin,ned
291,furs,fur,s
292,Executives,Executive,s
293,friendships,friendship,s
294,helmets,helmet,s
295,flunking,flunk,ing
296,acting,act,ing
297,deemed,deem,ed
298,tipped,tip,ped
299,fallen,fall,en
300,academics,academic,s
301,minarets,minaret,s
302,contents,content,s
303,portrayed,portray,ed
304,symptoms,symptom,s
305,descriptions,description,s
306,buzzwords,buzzword,s
307,Arts,Art,s
308,salons,salon,s
309,drafts,draft,s
310,households,household,s
311,proposals,proposal,s
312,emits,emit,s
313,creators,creator,s
314,mentioned,mention,ed
315,mutated,mutate,d
316,co-starred,co-star,red
317,tablespoons,tablespoon,s
318,laying,lay,ing
319,characterized,characterize,d
320,preferred,prefer,red
321,illnesses,illness,es
322,shoes,shoe,s
323,slightest,slight,est
324,importing,import,ing
325,fueled,fuel,ed
326,locations,location,s
327,grams,gram,s
328,worshippers,worshipper,s
329,extending,extend,ing
330,incorporated,incorporate,d
331,released,release,d
332,renamed,rename,d
333,formalisms,formalism,s
334,seeks,seek,s
335,lids,lid,s
336,sailors,sailor,s
337,stages,stage,s
338,displacements,displacement,s
339,applying,apply,ing
340,gaps,gap,s
341,sections,section,s
342,limited,limit,ed
343,interruptions,interruption,s
344,introduced,introduce,d
345,specialized,specialize,d
346,proponents,proponent,s
347,yams,yam,s
348,scraped,scrape,d
349,schooling,school,ing
350,phrases,phrase,s
351,hacked,hack,ed
352,dissolved,dissolve,d
353,boasts,boast,s
354,suggestions,suggestion,s
355,disposed,dispose,d
356,rents,rent,s
357,gushing,gush,ing
358,associated,associate,d
359,colleges,college,s
360,tearing,tear,ing
361,initials,initial,s
362,packing,pack,ing
363,rums,rum,s
364,fascinates,fascinate,s
365,rubbed,rub,bed
366,feared,fear,ed
367,perfected,perfect,ed
368,traveled,travel,ed
369,gazed,gaze,d
370,limits,limit,s
371,attacking,attack,ing
372,deflated,deflate,d
373,cents,cent,s
374,giants,giant,s
375,salted,salt,ed
376,accounted,account,ed
377,streams,stream,s
378,dissecting,dissect,ing
379,albums,album,s
380,entering,enter,ing
381,podcasters,podcaster,s
382,scenarios,scenario,s
383,dubbed,dub,bed
384,analysed,analyse,d
385,defectors,defector,s
386,seizures,seizure,s
387,dipping,dip,ping
388,laborers,laborer,s
389,encrusted,encrust,ed
390,remarks,remark,s
391,hatched,hatch,ed
392,Days,Day,s
393,sepulchres,sepulchre,s
394,rights,right,s
395,according,accord,ing
396,finding,find,ing
397,concerns,concern,s
398,basics,basic,s
399,admirers,admirer,s
400,fraying,fray,ing
401,likes,like,s
402,liked,like,d
403,thinks,think,s
404,linked,link,ed
405,lowers,lower,s
406,motives,motive,s
407,Republicans,Republican,s
408,submitted,submit,ted
409,commissioned,commission,ed
410,channelled,channel,led
411,Psalms,Psalm,s
412,ministered,minister,ed
413,wailing,wail,ing
414,rated,rate,d
415,witnessing,witness,ing
416,redefined,redefine,d
417,replaced,replace,d
418,impressions,impression,s
419,timed,time,d
420,explorers,explorer,s
421,pre-organised,pre-organise,d
422,wounding,wound,ing
423,ending,end,ing
424,heartbreaks,heartbreak,s
425,socials,social,s
426,prepared,prepare,d
427,biked,bike,d
428,ornaments,ornament,s
429,answered,answer,ed
430,adopts,adopt,s
431,referring,refer,ring
432,filling,fill,ing
433,leaders,leader,s
434,symbols,symbol,s
435,rays,ray,s
436,thinking,think,ing
437,cross-breeded,cross-breed,ed
438,shocking,shock,ing
439,shoots,shoot,s
440,debutants,debutant,s
441,tablets,tablet,s
442,outlines,outline,s
443,shared,share,d
444,Words,Word,s
445,batted,bat,ted
446,tops,top,s
447,checking,check,ing
448,influenced,influence,d
449,seeds,seed,s
450,tasted,taste,d
451,harder,hard,er
452,designs,design,s
453,acknowledged,acknowledge,d
454,rocks,rock,s
455,strengths,strength,s
456,slipped,slip,ped
457,Bangladeshis,Bangladeshi,s
458,revelations,revelation,s
459,warlords,warlord,s
460,evacuated,evacuate,d
461,promoted,promote,d
462,behaves,behave,s
463,bursting,burst,ing
464,issued,issue,d
465,overdone,overdo,ne
466,dipped,dip,ped
467,delayed,delay,ed
468,joining,join,ing
469,inferred,infer,red
470,diminishing,diminish,ing
471,eggshells,eggshell,s
472,altering,alter,ing
473,computers,computer,s
474,committed,commit,ted
475,malfunctioned,malfunction,ed
476,busted,bust,ed
477,hauled,haul,ed
478,hosts,host,s
479,horses,horse,s
480,restrictions,restriction,s
481,impulses,impulse,s
482,trimmed,trim,med
483,higher,high,er
484,distractions,distraction,s
485,advantages,advantage,s
486,co-ordinated,co-ordinate,d
487,inventorying,inventory,ing
488,visas,visa,s
489,gods,god,s
490,percentiles,percentile,s
491,tubes,tube,s
492,planets,planet,s
493,requests,request,s
494,commended,commend,ed
495,furthering,further,ing
496,attending,attend,ing
497,kinds,kind,s
498,subscribers,subscriber,s
499,accounts,account,s
500,adorns,adorn,s
501,integrated,integrate,d
502,civilians,civilian,s
503,versions,version,s
504,equations,equation,s
505,allowed,allow,ed
506,pilgrimages,pilgrimage,s
507,debates,debate,s
508,storms,storm,s
509,scanning,scan,ning
510,posters,poster,s
511,excited,excite,d
512,appreciates,appreciate,s
513,swallowing,swallow,ing
514,degrees,degree,s
515,pieces,piece,s
516,reputed,reput,ed
517,jumps,jump,s
518,celebrated,celebrate,d
519,vampires,vampire,s
520,berths,berth,s
521,regarding,regard,ing
522,floated,float,ed
523,tails,tail,s
524,antibiotics,antibiotic,s
525,genders,gender,s
526,materializes,materialize,s
527,experiences,experience,s
528,crumples,crumple,s
529,sweated,sweat,ed
530,auditioned,audition,ed
531,faced,face,d
532,bothered,bother,ed
533,oldest,old,est
534,reviewed,review,ed
535,temples,temple,s
536,conquering,conquer,ing
537,dominated,dominate,d
538,seemed,seem,ed
539,vitalized,vitalize,d
540,staying,stay,ing
541,mixing,mix,ing
542,intentions,intention,s
543,stopping,stop,ping
544,gamers,gamer,s
545,hands,hand,s
546,hoops,hoop,s
547,incentives,incentive,s
548,drums,drum,s
549,Grounds,Ground,s
550,established,establish,ed
551,shrouds,shroud,s
552,sinuses,sinus,es
553,accepted,accept,ed
554,ended,end,ed
555,meets,meet,s
556,earned,earn,ed
557,engines,engine,s
558,oils,oil,s
559,tourists,tourist,s
560,sticks,stick,s
561,assumptions,assumption,s
562,considers,consider,s
563,bowls,bowl,s
564,governing,govern,ing
565,states,state,s
566,reviews,review,s
567,trams,tram,s
568,episodes,episode,s
569,Plains,Plain,s
570,herbs,herb,s
571,hosting,host,ing
572,claimed,claim,ed
573,appears,appear,s
574,spared,spare,d
575,embodying,embody,ing
576,decentralized,decentralize,d
577,phases,phase,s
578,plotted,plot,ted
579,looking,look,ing
580,baths,bath,s
581,junctions,junction,s
582,operated,operate,d
583,Greater,Great,er
584,devices,device,s
585,admitted,admit,ted
586,starring,star,ring
587,lanes,lane,s
588,updated,update,d
589,centres,centre,s
590,receives,receive,s
591,crowds,crowd,s
592,persuaded,persuade,d
593,clearer,clear,er
594,engineered,engineer,ed
595,comes,come,s
596,improved,improve,d
597,matters,matter,s
598,features,feature,s
599,seems,seem,s
600,Colors,Color,s
601,ensures,ensure,s
602,characteristics,characteristic,s
603,weeds,weed,s
604,MDGs,MDG,s
605,triumphs,triumph,s
606,Plans,Plan,s
607,asserting,assert,ing
608,schools,school,s
609,Girls,Girl,s
610,Heels,Heel,s
611,Systems,System,s
612,exaggerated,exaggerate,d
613,eaves,eave,s
614,chickens,chicken,s
615,registering,register,ing
616,dangled,dangle,d
617,getting,get,ting
618,empathized,empathize,d
619,nipping,nip,ping
620,colored,color,ed
621,frightens,frighten,s
622,throwing,throw,ing
623,travellers,traveller,s
624,ceased,cease,d
625,requesting,request,ing
626,discovered,discover,ed
627,splattered,splatter,ed
628,Pandorans,Pandoran,s
629,numbers,number,s
630,balls,ball,s
631,correspondances,correspondance,s
632,contributes,contribute,s
633,mistakes,mistake,s
634,weakened,weaken,ed
635,addressing,address,ing
636,persecuted,persecute,d
637,appliances,appliance,s
638,parameters,parameter,s
639,explained,explain,ed
640,Frontiers,Frontier,s
641,carvings,carving,s
642,dissolves,dissolve,s
643,choices,choice,s
644,educated,educate,d
645,honors,honor,s
646,confided,confide,d
647,Belgians,Belgian,s
648,signed,sign,ed
649,emails,email,s
650,ratings,rating,s
651,negotiations,negotiation,s
652,non-locals,non-local,s
653,separated,separate,d
654,covered,cover,ed
655,exiled,exile,d
656,transplants,transplant,s
657,demanding,demand,ing
658,enjoying,enjoy,ing
659,opponents,opponent,s
660,days,day,s
661,centered,center,ed
662,erected,erect,ed
663,created,create,d
664,greatest,great,est
665,parents,parent,s
666,makes,make,s
667,benefits,benefit,s
668,Owls,Owl,s
669,elephants,elephant,s
670,breathing,breath,ing
671,existing,exist,ing
672,belongs,belong,s
673,popped,pop,ped
674,customers,customer,s
675,determined,determine,d
676,documenting,document,ing
677,interviews,interview,s
678,seen,see,n
679,consented,consent,ed
680,allegations,allegation,s
681,answers,answer,s
682,handcuffed,handcuff,ed
683,grants,grant,s
684,effects,effect,s
685,reigned,reign,ed
686,backdated,backdate,d
687,researchers,researcher,s
688,purged,purge,d
689,beds,bed,s
690,cases,case,s
691,Weapons,Weapon,s
692,wands,wand,s
693,trends,trend,s
694,straightening,straighten,ing
695,CFLs,CFL,s
696,speeding,speed,ing
697,peaking,peak,ing
698,canes,cane,s
699,opening,open,ing
700,tapering,taper,ing
701,dishonest,dishon,est
702,ordered,order,ed
703,comics,comic,s
704,paralyzed,paralyze,d
705,arrangements,arrangement,s
706,grows,grow,s
707,attacked,attack,ed
708,professionals,professional,s
709,discarded,discard,ed
710,signals,signal,s
711,latest,late,st
712,organized,organize,d
713,nearest,near,est
714,scenes,scene,s
715,goers,goer,s
716,deeds,deed,s
717,botanicals,botanical,s
718,surrendered,surrender,ed
719,translations,translation,s
720,lemons,lemon,s
721,soldiers,soldier,s
722,creases,crease,s
723,immortalized,immortalize,d
724,heating,heat,ing
725,harbours,harbour,s
726,pulling,pull,ing
727,bolstered,bolster,ed
728,indentured,indenture,d
729,building,build,ing
730,carved,carve,d
731,dunes,dune,s
732,correcting,correct,ing
733,limitations,limitation,s
734,staggered,stagger,ed
735,churchyards,churchyard,s
736,matures,mature,s
737,sheltered,shelter,ed
738,deadlines,deadline,s
739,filmed,film,ed
740,mimicking,mimick,ing
741,rebelling,rebel,ling
742,keeps,keep,s
743,references,reference,s
744,underpinning,underpin,ning
745,delegates,delegate,s
746,sorrows,sorrow,s
747,vibrated,vibrate,d
748,puns,pun,s
749,needed,need,ed
750,arrests,arrest,s
751,methods,method,s
752,TFs,TF,s
753,defined,define,d
754,showed,show,ed
755,smeared,smear,ed
756,cupcakes,cupcake,s
757,alleged,allege,d
758,evaluated,evaluate,d
759,slipping,slip,ping
760,non-philosophers,non-philosopher,s
761,establishing,establish,ing
762,touchstones,touchstone,s
763,mirrors,mirror,s
764,laughed,laugh,ed
765,biologists,biologist,s
766,germs,germ,s
767,successes,success,es
768,establishments,establishment,s
769,stirring,stir,ring
770,distinguishing,distinguish,ing
771,cooperated,cooperate,d
772,shines,shine,s
773,counting,count,ing
774,fitted,fit,ted
775,contexts,context,s
776,nerves,nerve,s
777,swayed,sway,ed
778,expressed,express,ed
779,questions,question,s
780,relieved,relieve,d
781,floating,float,ing
782,sources,source,s
783,Gospels,Gospel,s
784,compliments,compliment,s
785,films,film,s
786,graduated,graduate,d
787,teaspoons,teaspoon,s
788,amounts,amount,s
789,edifices,edifice,s
790,millions,million,s
791,breezes,breeze,s
792,traffickers,trafficker,s
793,achieved,achieve,d
794,Tatars,Tatar,s
795,norms,norm,s
796,cleaners,cleaner,s
797,sights,sight,s
798,stays,stay,s
799,varying,vary,ing
800,enraged,enrage,d
801,livelihoods,livelihood,s
802,ships,ship,s
803,questioned,question,ed
804,workers,worker,s
805,trades,trade,s
806,Americans,American,s
807,awaited,await,ed
808,connects,connect,s
809,quotes,quote,s
810,meanings,meaning,s
811,wounds,wound,s
