,full_word,pt1,rest
0,ვინმე,ვინ,მე
1,რამ,რა,მ
2,ღრმად,ღრმა,დ
3,რაღაც,რა,ღაც
4,რატომღაც,რატომ,ღაც
5,ვინც,ვინ,ც
6,ქვეყანას,ქვეყანა,ს
7,სივრცეს,სივრცე,ს
8,მეც,მე,ც
9,დამჭირდება,დამ,ჭირდება
10,დილას,დილა,ს
11,რას,რა,ს
12,მაინტერესებს,მ,აინტერესებს
13,მაქვს,მ,აქვს
14,მეკითხება,მ,ეკითხება
15,სხვათა,სხვა,თა
16,შენს,შენ,ს
17,უბრალოდ,უბრალო,დ
18,სიყვარულითა,სიყვარული,თა
19,სიცოცხლეს,სიცოცხლე,ს
20,ყველას,ყველა,ს
21,ღალატისა,ღალატი,სა
22,შანტაჟისა,შანტაჟი,სა
23,ტკივილის,ტკივილი,ს
24,მიწას,მიწა,ს
25,იქვე,იქ,ვე
26,დღეს,დღე,ს
27,საქართველოს,საქართველო,ს
28,ეკონომიკას,ეკონომიკა,ს
29,სოციალიზმისა,სოციალიზმი,სა
30,სოციალიზმის,სოციალიზმი,ს
31,საკუთრებას,საკუთრება,ს
32,სანახევროდ,სანახევრო,დ
33,მეფეთა,მეფე,თა
34,ხალხის,ხალხი,ს
35,შესწავლას,შესწავლა,ს
36,გატარებას,გატარება,ს
37,შემუშავებას,შემუშავება,ს
38,ერის,ერი,ს
39,ნათქვამის,ნათქვამი,ს
40,საილუსტრაციოდ,საილუსტრაციო,დ
41,ეპოქას,ეპოქა,ს
42,ადამიანის,ადამიანი,ს
43,დაავადებად,დაავადება,დ
44,გაქვს,გ,აქვს
45,ნაწილის,ნაწილი,ს
46,ინფორმაციამ,ინფორმაცია,მ
47,სწრაფვამ,სწრაფვა,მ
48,ექიმის,ექიმი,ს
49,თანაც,თან,აც
50,წაკითხულის,წაკითხული,ს
51,აღემატება,აღ,ემატება
52,ლექსის,ლექსი,ს
53,წიგნის,წიგნი,ს
54,გვაფიქრებინებს,გვ,აფიქრებინებს
55,მაშინაც,მაშინ,აც
56,სათქმელის,სათქმელი,ს
57,განსხეულებას,განსხეულება,ს
58,დროსაც,დრო,საც
59,სახეებს,სახე,ებს
60,ფრაზეოლოგიას,ფრაზეოლოგია,ს
61,მთარგმნელის,მთარგმნელი,ს
62,ხელმეორედ,ხელმეორე,დ
63,ფერის,ფერი,ს
64,ჟღერადობას,ჟღერადობა,ს
65,ჩვენა,ჩვენ,ა
66,მჭრის,მ,ჭრის
67,უდაოდ,უდაო,დ
68,მიაგნებს,მი,აგნებს
69,რომელიც,რომელი,ც
70,სახეს,სახე,ს
71,იმის,იმ,ის
72,ეპიგონობას,ეპიგონობა,ს
73,სათავეებ,სათავე,ებ
74,საწყისის,საწყისი,ს
75,სულიერებადა,სულიერება,და
76,სამყაროს,სამყარო,ს
77,გათიშვას,გათიშვა,ს
78,მელექსეთა,მელექსე,თა
79,მთათა,მთა,თა
80,სამკვიდროს,სამკვიდრო,ს
81,პოეტის,პოეტი,ს
82,სამომავლოდ,სამომავლო,დ
83,ცას,ცა,ს
84,ნადირიც,ნადირი,ც
85,ქარისა,ქარი,სა
86,ვეხის,ვეხი,ს
87,ნეოლითის,ნეოლითი,ს
88,აღინიშნება,აღ,ინიშნება
89,დღესაც,დღეს,აც
90,გავლენას,გავლენა,ს
91,ჰარმონიას,ჰარმონია,ს
92,თაღის,თაღი,ს
93,სახლის,სახლი,ს
94,გულმოდგინედ,გულმოდგინე,დ
95,ჩვენც,ჩვენ,ც
