,full_word,pt1,rest
0,το,τ,ο
1,συντονίστριας,συντονίστρια,ς
2,Κατερίνας,Κατερίνα,ς
3,γελώντας,γελώ,ντας
4,αστυνομίας,αστυνομία,ς
5,Αδριανής,Αδριανή,ς
6,Ελλάδας,Ελλάδα,ς
7,οι,ο,ι
8,Το,Τ,ο
9,Αθήνας,Αθήνα,ς
10,περιτροπής,περιτροπή,ς
11,σήμανσης,σήμανση,ς
12,μάτια,μάτι,α
13,Δευτέρας,Δευτέρα,ς
14,ζόρια,ζόρι,α
15,εταιρείας,εταιρεία,ς
16,πράγματα,πράγμα,τα
17,πόδια,πόδι,α
18,λιμάνια,λιμάνι,α
19,μαρούλια,μαρούλι,α
20,βλέμματα,βλέμμα,τα
21,μαφίας,μαφία,ς
22,συνάντησης,συνάντηση,ς
23,ανόρθωσης,ανόρθωση,ς
24,τουλάχιστον,τουλάχιστο,ν
25,πάντα,πάν,τα
26,νήματος,νήμα,τος
27,υποδιεύθυνσης,υποδιεύθυνση,ς
28,κόμματος,κόμμα,τος
29,κωλοφαρδίας,κωλοφαρδία,ς
30,μουσείου,μουσείο,υ
31,παρηγοριάς,παρηγοριά,ς
32,εγκυμοσύνης,εγκυμοσύνη,ς
33,αναμονής,αναμονή,ς
34,συρτάρια,συρτάρι,α
35,παροιμίας,παροιμία,ς
36,μαχαίρια,μαχαίρι,α
37,ημέρας,ημέρα,ς
38,αγγούρια,αγγούρι,α
39,χειραψίας,χειραψία,ς
40,νήματα,νήμα,τα
41,βελόνας,βελόνα,ς
42,χέρια,χέρι,α
43,ηλικίας,ηλικία,ς
44,απορίας,απορία,ς
45,ανησυχίας,ανησυχία,ς
46,βίας,βία,ς
47,Σαρακοστής,Σαρακοστή,ς
48,κρίσης,κρίση,ς
49,δολοφονίας,δολοφονία,ς
50,ποτήρια,ποτήρι,α
51,κρεβατοκάμαρας,κρεβατοκάμαρα,ς
52,κόμματα,κόμμα,τα
53,ψέματα,ψέμα,τα
54,σημάδια,σημάδι,α
55,μαλακίας,μαλακία,ς
56,κόρης,κόρη,ς
57,διαφυγής,διαφυγή,ς
58,Ασφάλειας,Ασφάλεια,ς
59,γραφείου,γραφείο,υ
60,οδήγησης,οδήγηση,ς
61,εξίσουν,εξίσου,ν
62,επαφής,επαφή,ς
63,μητέρας,μητέρα,ς
64,ράμματα,ράμμα,τα
65,παιχνίδια,παιχνίδι,α
66,ληστείας,ληστεία,ς
67,επιβίωσης,επιβίωση,ς
68,χρήματος,χρήμα,τος
69,πίστης,πίστη,ς
70,αρετής,αρετή,ς
71,φασόλια,φασόλι,α
72,καΐκια,καΐκι,α
73,τρεχαντήρια,τρεχαντήρι,α
74,ενότητας,ενότητα,ς
75,ανακούφισης,ανακούφιση,ς
76,γένια,γένι,α
77,ανάπτυξης,ανάπτυξη,ς
78,συνωμοσίας,συνωμοσία,ς
79,Ηλιούπολης,Ηλιούπολη,ς
80,σκέψης,σκέψη,ς
81,Αττικής,Αττική,ς
82,φασολάκια,φασολάκι,α
83,ψάρια,ψάρι,α
84,κυκλοφορίας,κυκλοφορία,ς
85,εργασίας,εργασία,ς
86,καμπανάκια,καμπανάκι,α
87,κουζίνας,κουζίνα,ς
88,ντουλάπια,ντουλάπι,α
89,τμήματος,τμήμα,τος
90,καθήκοντα,καθήκον,τα
91,κυβέρνησης,κυβέρνηση,ς
92,τραγωδίας,τραγωδία,ς
93,αντίληψης,αντίληψη,ς
94,ζωής,ζωή,ς
95,χρεοκοπίας,χρεοκοπία,ς
96,καράβια,καράβι,α
97,λαχαναγοράς,λαχαναγορά,ς
98,ψείρας,ψείρα,ς
99,όσον,όσο,ν
100,χώρας,χώρα,ς
101,ρεμάλια,ρεμάλι,α
102,μπιφτέκια,μπιφτέκι,α
103,αντρόγυνου,αντρόγυνο,υ
104,πλατείας,πλατεία,ς
105,στρώματα,στρώμα,τα
106,θύματα,θύμα,τα
107,γης,γη,ς
108,τσαλιμάκια,τσαλιμάκι,α
109,απειλής,απειλή,ς
110,έρευνας,έρευνα,ς
111,πράγματά,πράγμα,τά
