,full_word,pt1,rest
0,નિપાળો,渡,らせていただきませんでした
1,નિપાળો,નિપાળ,ો
2,નિશાળિયો,નિપાળ,ો
3,નિશાળિયો,નિશાળિય,ો
4,વીજથાંભલો,નિશાળિય,ો
5,વીજથાંભલો,વીજથાંભલ,ો
6,કાચબો,વીજથાંભલ,ો
7,કાચબો,કાચબ,ો
8,પંખો,પંખ,ો
9,અઘરણી,પંખ,ો
10,હુમલો,હુમલ,ો
11,આંકડો,આંકડ,ો
12,ચામાચીડિયું,આંકડ,ો
13,ચામાચીડિયું,ચામાચીડિય,ું
14,ચિત્તો,ચિત્ત,ો
15,ગવૈયો,ગવૈય,ો
16,બૂંદદાણો,ગવૈય,ો
17,બૂંદદાણો,બૂંદદાણ,ો
18,છત્રીવાજુંું,બૂંદદાણ,ો
19,છત્રીવાજુંું,છત્રીવાજું,ું
20,કોશેટો,કોશેટ,ો
21,વચગાળો,કોશેટ,ો
22,વચગાળો,વચગાળ,ો
23,રંદો,રંદ,ો
24,સંપૂર્ણપણું,રંદ,ો
25,સંપૂર્ણપણું,સંપૂર્ણપણ,ું
26,ધરતી,સંપૂર્ણપણ,ું
27,અછૂતપણું,સંપૂર્ણપણ,ું
28,અછૂતપણું,અછૂતપણ,ું
29,જીભડો,જીભડ,ો
30,સંઘાડો,જીભડ,ો
31,સંઘાડો,સંઘાડ,ો
32,ચૂંઈ,સંઘાડ,ો
33,ચાંચિયો,સંઘાડ,ો
34,ચાંચિયો,ચાંચિય,ો
35,વીજઆંચકો,વીજઆંચક,ો
36,વીજબત્તી,વીજઆંચક,ો
37,દીકરો,દીકર,ો
38,નળો,નળ,ો
39,નળિયું,નળ,ો
40,નળિયું,નળિય,ું
41,છોકરું,નળિય,ું
42,છોકરું,છોકર,ું
43,ઘોડી,છોકર,ું
44,ફુગાવો,છોકર,ું
45,ફુગાવો,ફુગાવ,ો
46,ઉછાળો,ફુગાવ,ો
47,ઉછાળો,ઉછાળ,ો
48,પડછાયો,ઉછાળ,ો
49,પડછાયો,પડછાય,ો
50,પાકવીમો,પડછાય,ો
51,પાકવીમો,પાકવીમ,ો
52,શેઢો,શેઢ,ો
53,કેળું,શેઢ,ો
54,કેળું,કેળ,ું
55,દાંતિયો,કેળ,ું
56,દાંતિયો,દાંતિય,ો
57,મોરિયો,મોરિય,ો
58,જહાજવાડો,મોરિય,ો
59,જહાજવાડો,જહાજવાડ,ો
60,કાનદટ્ટો,જહાજવાડ,ો
61,કાનદટ્ટો,કાનદટ્ટ,ો
62,કોગળિયું,કાનદટ્ટ,ો
63,કોગળિયું,કોગળિય,ું
64,આવકવેરો,આવકવેર,ો
65,ચૂનો,ચૂન,ો
66,દડો,દડ,ો
67,ડાળી,દડ,ો
68,જન્મટાણું,દડ,ો
69,જન્મટાણું,જન્મટાણ,ું
70,તાળું,જન્મટાણ,ું
71,તાળું,તાળ,ું
72,કરિયાતું,તાળ,ું
73,કરિયાતું,કરિયાત,ું
74,ઝઘડો,ઝઘડ,ો
75,છેકણી,ઝઘડ,ો
76,ઊમરોો,ઊમરો,ો
77,ભાથો,ઊમરો,ો
78,ભાથો,ભાથ,ો
79,ઓશીકું,ઓશીક,ું
80,દરવાજો,ઓશીક,ું
81,દરવાજો,દરવાજ,ો
82,ધડો,ધડ,ો
83,વીજચોરી,ધડ,ો
84,દેડકું,ધડ,ો
85,દેડકું,દેડક,ું
86,તરવૈયો,તરવૈય,ો
87,નાહો,તરવૈય,ો
88,નાહો,નાહ,ો
89,સલાડું,નાહ,ો
90,સલાડું,સલાડ,ું
91,લખવો,લખવ,ો
92,ઘોડો,ઘોડ,ો
93,કચરો,કચર,ો
94,વિજેતા,કચર,ો
95,બચ્ચું,કચર,ો
96,બચ્ચું,બચ્ચ,ું
97,આરોગ્યવીમો,આરોગ્યવીમ,ો
98,ચોપડો,ચોપડ,ો
99,છતપંખો,છતપંખ,ો
100,કડિયો,કડિય,ો
101,સંતરું,કડિય,ો
102,સંતરું,સંતર,ું
103,ઝાડો,સંતર,ું
104,ઝાડો,ઝાડ,ો
105,દહાડો,ઝાડ,ો
106,દહાડો,દહાડ,ો
107,પરોણો,પરોણ,ો
108,ચંપો,ચંપ,ો
109,થાળી,ચંપ,ો
110,અપૈયો,અપૈય,ો
111,ફુવારો,અપૈય,ો
112,ફુવારો,ફુવાર,ો
113,ઢગરું,ફુવાર,ો
114,ઢગરું,ઢગર,ું
115,ચેલી,ઢગર,ું
116,નાવણિયું,ઢગર,ું
117,નાવણિયું,નાવણિય,ું
118,ખેલાડી,નાવણિય,ું
119,જીંજવો,જીંજવ,ો
120,ફેફસું,જીંજવ,ો
121,ફેફસું,ફેફસ,ું
122,હીરો,હીર,ો
123,મોંઘવારી,હીર,ો
124,કઠિયારો,હીર,ો
125,કઠિયારો,કઠિયાર,ો
126,ચેવડો,ચેવડ,ો
127,ઘડવૈયો,ઘડવૈય,ો
128,ફિરસ્તો,ફિરસ્ત,ો
129,ઢેબરું,ફિરસ્ત,ો
130,ઢેબરું,ઢેબર,ું
131,હૈયાબળાપો,ઢેબર,ું
132,હૈયાબળાપો,હૈયાબળાપ,ો
133,મારદડો,હૈયાબળાપ,ો
134,મારદડો,મારદડ,ો
135,ચમચો,ચમચ,ો
136,વાડો,ચમચ,ો
137,વાડો,વાડ,ો
138,દીપડો,દીપડ,ો
139,આંચકો,આંચક,ો
140,મોટેરું,આંચક,ો
141,મોટેરું,મોટેર,ું
142,કારેલું,મોટેર,ું
143,સસલું,મોટેર,ું
144,સસલું,સસલ,ું
145,નિશાળિયું,સસલ,ું
146,નિશાળિયું,નિશાળિય,ું
147,આમળો,આમળ,ો
148,સાબુદાણો,આમળ,ો
149,સાબુદાણો,સાબુદાણ,ો
150,ગીરો,ગીર,ો
151,તાંબું,ગીર,ો
152,તાંબું,તાંબ,ું
153,નસકોરું,તાંબ,ું
154,નસકોરું,નસકોર,ું
155,ભાવવધારો,નસકોર,ું
156,ભાવવધારો,ભાવવધાર,ો
157,બરફગોળો,બરફગોળ,ો
158,કળીચૂનું,બરફગોળ,ો
159,કળીચૂનું,કળીચૂન,ું
160,આંબાવાડિયું,કળીચૂન,ું
161,આંબાવાડિયું,આંબાવાડિય,ું
162,નરગોટો,નરગોટ,ો
163,લકવો,લકવ,ો
164,ઈંટવાડો,લકવ,ો
165,ઈંટવાડો,ઈંટવાડ,ો
166,હૈડિયો,હૈડિય,ો
167,રોગચાળો,હૈડિય,ો
168,રોગચાળો,રોગચાળ,ો
169,કાંદો,રોગચાળ,ો
170,કાંદો,કાંદ,ો
171,ચરવૈયો,ચરવૈય,ો
172,હિંડોળો,હિંડોળ,ો
173,પીણું,હિંડોળ,ો
174,પીણું,પીણ,ું
175,ચરખો,ચરખ,ો
176,બજવૈયો,બજવૈય,ો
177,પગરખું,બજવૈય,ો
178,પગરખું,પગરખ,ું
179,ચાદાની,પગરખ,ું
180,ખંભો,ખંભ,ો
181,સંભારણું,ખંભ,ો
182,સંભારણું,સંભારણ,ું
183,સસલી,સંભારણ,ું
184,મોજું,સંભારણ,ું
185,મોજું,મોજ,ું
186,ફગિયો,ફગિય,ો
187,આકરાપણું,ફગિય,ો
188,આકરાપણું,આકરાપણ,ું
189,ઊંટડો,ઊંટડ,ો
190,ચિચોડો,ચિચોડ,ો
191,અફીણિયો,અફીણિય,ો
192,પપૈયું,અફીણિય,ો
193,પપૈયું,પપૈય,ું
194,પરસેવો,પરસેવ,ો
195,નાસ્તો,પરસેવ,ો
196,નાસ્તો,નાસ્ત,ો
197,હાડકું,નાસ્ત,ો
198,હાડકું,હાડક,ું
199,ચાટલું,હાડક,ું
200,ચાટલું,ચાટલ,ું
201,પથ્થરમારો,ચાટલ,ું
202,પથ્થરમારો,પથ્થરમાર,ો
203,બોરિયું,પથ્થરમાર,ો
204,બોરિયું,બોરિય,ું
205,નશો,નશ,ો
206,પીછું,નશ,ો
207,પીછું,પીછ,ું
208,લૂગડું,પીછ,ું
209,લૂગડું,લૂગડ,ું
210,રસ્તો,રસ્ત,ો
211,સમુદ્રકાંઠો,રસ્ત,ો
212,સમુદ્રકાંઠો,સમુદ્રકાંઠ,ો
213,ચાડિયો,સમુદ્રકાંઠ,ો
214,ચાડિયો,ચાડિય,ો
215,બાંકડો,ચાડિય,ો
216,બાંકડો,બાંકડ,ો
217,મહિનો,મહિન,ો
218,છારું,મહિન,ો
219,છારું,છાર,ું
220,ઉટાંટિયું,છાર,ું
221,ઉટાંટિયું,ઉટાંટિય,ું
222,તાડછું,ઉટાંટિય,ું
223,તાડછું,તાડછ,ું
224,ફાયદો,તાડછ,ું
225,ફાયદો,ફાયદ,ો
226,છાપું,ફાયદ,ો
227,છાપું,છાપ,ું
228,ચેલો,ચેલ,ો
229,ટામેટું,ચેલ,ો
230,સાગુદાણો,ચેલ,ો
231,સાગુદાણો,સાગુદાણ,ો
232,એરંડિયું,સાગુદાણ,ો
233,એરંડિયું,એરંડિય,ું
234,દસકો,દસક,ો
235,ઈંડું,દસક,ો
236,ઈંડું,ઈંડ,ું
237,અગનગોળો,અગનગોળ,ો
238,મચુંગો,મચુંગ,ો
239,ટોપલીદડો,ટોપલીદડ,ો
240,ખભો,ખભ,ો
241,કાગડો,ખભ,ો
242,કાગડો,કાગડ,ો
243,મોગરો,મોગર,ો
