,full_word,pt1,rest
0,Koszovóra,Koszovó,ra
1,tervezi,tervez,i
2,partvidékén,partvidék,én
3,láthattunk,lát,hattunk
4,végrehajtását,végrehajtás,át
5,kényszerült,kényszerül,t
6,közösen,közös,en
7,életemben,élet,emben
8,hágókat,hágó,kat
9,beszámolói,beszámoló,i
10,újságokban,újság,okban
11,Németországból,Németország,ból
12,kancellárénál,kancellár,énál
13,alaposan,alapos,an
14,akivel,aki,vel
15,invitálta,invitál,ta
16,zöme,zöm,e
17,választók,választó,k
18,tervezze,tervez,ze
19,gyűjthetnek,gyűjt,hetnek
20,személyesen,személyes,en
21,túlzottaknak,túlzott,aknak
22,létszáma,létszám,a
23,lakásban,lakás,ban
24,megteremtését,megteremtés,ét
25,országhatárokon,országhatár,okon
26,amin,ami,n
27,negyedében,negyed,ében
28,szabja,szab,ja
29,törést,törés,t
30,egyidejűleg,egyidejű,leg
31,nyugdíjasok,nyugdíjas,ok
32,fékberendezéseket,fékberendezés,eket
33,emberrel,ember,rel
34,privatizációjáról,privatizáció,járól
35,eldönteni,eldönt,eni
36,tervét,terv,ét
37,kapcsolatba,kapcsolat,ba
38,kommunikáljanak,kommunikál,janak
39,énekelt,énekel,t
40,tanulnia,tanul,nia
41,csinált,csinál,t
42,egyetemen,egyetem,en
43,ássuk,ás,suk
44,transzportban,transzport,ban
45,munkaigényesnek,munkaigényes,nek
46,eddiginél,eddigi,nél
47,túlságosan,túlságos,an
48,plakátot,plakát,ot
49,látogatásának,látogatás,ának
50,tisztességtelenekre,tisztességtelen,ekre
51,felfogással,felfogás,sal
52,aukcióban,aukció,ban
53,oldalát,oldal,át
54,részére,rész,ére
55,tanulságosak,tanulságos,ak
56,vannak,van,nak
57,tagja,tag,ja
58,kiállításán,kiállítás,án
59,játékában,játék,ában
60,követelményeket,követelmény,eket
61,fenyegette,fenyeget,te
62,álláspontja,álláspont,ja
63,hamisnak,hamis,nak
64,csütörtökre,csütörtök,re
65,részt,rész,t
66,halálának,halál,ának
67,felelőssége,felelősség,e
68,újságok,újság,ok
69,alakítottak,alakít,ottak
70,áldozatot,áldozat,ot
71,békefenntartók,békefenntartó,k
72,befolyásuk,befolyás,uk
73,Audit,Audi,t
74,megbeszéléseken,megbeszélés,eken
75,mondatok,mondat,ok
76,euróért,euró,ért
77,villamosmérnököket,villamosmérnök,öket
78,terhességük,terhesség,ük
79,feloszlatását,feloszlatás,át
80,koncertdarabjaim,koncertdarab,jaim
81,tarthat,tart,hat
82,tulajdonukban,tulajdon,ukban
83,szabaddá,szabad,dá
84,rázott,ráz,ott
85,AIDS-esek,AIDS-es,ek
86,kiépítését,kiépítés,ét
87,biztosan,biztos,an
88,közölték,közöl,ték
89,szinten,szint,en
90,írt,ír,t
91,hajtott,hajt,ott
92,hitelképtelensége,hitelképtelenség,e
93,életéért,élet,éért
94,találhatók,található,k
95,piacokért,piac,okért
96,hajlandósággal,hajlandóság,gal
97,köztársaságba,köztársaság,ba
98,domborzata,domborzat,a
99,közgyűlést,közgyűlés,t
100,korszerűséggel,korszerűség,gel
101,bizonyultak,bizonyul,tak
102,nyújtanunk,nyújt,anunk
103,ezekből,ez,ekből
104,kezdeményezheti,kezdeményez,heti
105,úthálózatot,úthálózat,ot
106,székhelyen,székhely,en
107,osztályhoz,osztály,hoz
108,hatalomba,hatalom,ba
109,megteremtéséhez,megteremtés,éhez
110,hírek,hír,ek
111,hálásak,hálás,ak
112,bizonyult,bizonyul,t
113,eltérése,eltérés,e
114,szembeszállni,szembeszáll,ni
115,kerámiatárgyak,kerámiatárgy,ak
116,Magyarországra,Magyarország,ra
117,részvételét,részvétel,ét
118,megállítani,megállít,ani
119,ápolása,ápolás,a
120,Dosztojevszkij-rendezéséhez,Dosztojevszkij-rendezés,éhez
121,fűtőolaj-szállítmányból,fűtőolaj-szállítmány,ból
122,hajléktalanról,hajléktalan,ról
123,hírszerzésnek,hírszerzés,nek
124,pusztította,pusztít,otta
125,torzultak,torzul,tak
126,diákokat,diák,okat
127,évadban,évad,ban
128,Operaházban,Operaház,ban
129,pártállásból,pártállás,ból
130,gyakorlatilag,gyakorlati,lag
131,helyeztetik,helyeztet,ik
132,kölcsönt,kölcsön,t
133,tökéletesen,tökéletes,en
134,érdekében,érdek,ében
135,helyezte,helyez,te
136,szállásolják,szállásol,ják
137,tárgyalni,tárgyal,ni
138,EU-tagállamok,EU-tagállam,ok
139,kérdésében,kérdés,ében
140,előadójának,előadó,jának
141,segélyakciókhoz,segélyakció,khoz
142,ajánlani,ajánl,ani
143,stagnáltak,stagnál,tak
144,dédelgette,dédelget,te
145,svédé,svéd,é
146,váltott,vált,ott
147,ingadozásai,ingadozás,ai
148,hangosan,hangos,an
149,kétségbe,kétség,be
150,névértékénél,névérték,énél
151,igazolások,igazolás,ok
152,választásokat,választás,okat
153,tanácsadásban,tanácsadás,ban
154,cikke,cikk,e
155,muníciót,muníció,t
156,indoklásában,indoklás,ában
157,újdonságot,újdonság,ot
158,vörösváriak,vörösvári,ak
159,születésének,születés,ének
160,ajánlott,ajánl,ott
161,mondani,mond,ani
162,mást,más,t
163,mentették,ment,ették
164,szlovákok,szlovák,ok
165,elszállítását,elszállítás,át
166,közönséget,közönség,et
167,letartóztatásban,letartóztatás,ban
168,üzenetnek,üzenet,nek
169,másnak,más,nak
170,eredménye,eredmény,e
171,biztosításból,biztosítás,ból
172,Ecevit,Ecevi,t
173,maradáshoz,maradás,hoz
174,szerették,szeret,ték
175,minősítette,minősít,ette
176,utazást,utazás,t
177,Brókerhez,Bróker,hez
178,említést,említés,t
179,kerülök,kerül,ök
180,elemzők,elemző,k
181,helyére,hely,ére
182,élte,él,te
183,szépnek,szép,nek
184,megosztottságát,megosztottság,át
185,küzdenie,küzd,enie
186,finanszírozásban,finanszírozás,ban
187,kerülhetnek,kerül,hetnek
188,fennakadást,fennakadás,t
189,energiahordozók,energiahordozó,k
190,rangok,rang,ok
191,újabbakkal,új,abbakkal
192,szemükre,szem,ükre
193,alakításával,alakítás,ával
194,szólaltathatok,szólaltat,hatok
195,átlagemberek,átlagember,ek
196,közállapotokba,közállapot,okba
197,Ivanovval,Ivanov,val
198,segíteni,segít,eni
199,pillanatban,pillanat,ban
200,dobtak,dob,tak
201,légkörben,légkör,ben
202,időről,idő,ről
203,gazdaságba,gazdaság,ba
204,sorsot,sors,ot
205,tisztességesek,tisztességes,ek
206,esélyét,esély,ét
207,szervezték,szervez,ték
208,igazolást,igazolás,t
209,életem,élet,em
210,előzménye,előzmény,e
211,évében,év,ében
212,kerülni,kerül,ni
213,halálesetekre,haláleset,ekre
214,jelöltje,jelölt,je
215,készült,készül,t
216,nyáron,nyár,on
217,műfajból,műfaj,ból
218,nyomai,nyom,ai
219,konjunktúra-időszaknál,konjunktúra-időszak,nál
220,tartókat,tartó,kat
221,énekelni,énekel,ni
222,beszédhez,beszéd,hez
223,holttestre,holttest,re
224,amit,ami,t
225,szoborról,szobor,ról
226,gyűjteményének,gyűjtemény,ének
227,beruházások,beruházás,ok
228,alelnöke,alelnök,e
229,csütörtökön,csütörtök,ön
230,könyvek,könyv,ek
231,képviselik,képvisel,ik
232,században,század,ban
233,módszereket,módszer,eket
234,számíthattak,számít,hattak
235,foglaltakat,foglalt,akat
236,bélátfúródása,bélátfúródás,a
237,hadállását,hadállás,át
238,láttatja,lát,tatja
239,tudják,tud,ják
240,akarja,akar,ja
241,évek,év,ek
242,állásajánlataik,állásajánlat,aik
243,adót,adó,t
244,diákoknak,diák,oknak
245,polgárok,polgár,ok
246,Albatroszt,Albatrosz,t
247,gépkocsivezetőről,gépkocsivezető,ről
248,megszavazni,megszavaz,ni
249,nőt,nő,t
250,fogja,fog,ja
251,leépítését,leépítés,ét
252,közölte,közöl,te
253,lokomotívként,lokomotív,ként
254,tucatot,tucat,ot
255,üldögélnek,üldögél,nek
256,tiszteletben,tisztelet,ben
257,kérdést,kérdés,t
258,cáfolta,cáfol,ta
259,bővülése,bővülés,e
260,ezek,ez,ek
261,csináltam,csinál,tam
262,vezérigazgatója,vezérigazgató,ja
263,közleményre,közlemény,re
264,világmagyarázatként,világmagyarázat,ként
265,Mauroyra,Mauroy,ra
266,Bécset,Bécs,et
267,gyakorlatokra,gyakorlat,okra
268,hallatlanul,hallatlan,ul
269,reményét,remény,ét
270,címek,cím,ek
271,szuggesztivitással,szuggesztivitás,sal
272,házak,ház,ak
273,ambícióit,ambíció,it
274,felszínre,felszín,re
275,pszichiáternek,pszichiáter,nek
276,tulajdonosai,tulajdonos,ai
277,Borban,Bor,ban
278,készítenek,készít,enek
279,jellemzőivel,jellemző,ivel
280,ÁPTF-nek,ÁPTF,-nek
281,szükségem,szükség,em
282,egyetemet,egyetem,et
283,készülhetett,készül,hetett
284,kerítések,kerítés,ek
285,viszonya,viszony,a
286,poeticaként,poetica,ként
287,sürgette,sürget,te
288,fuvarozókat,fuvarozó,kat
289,finomsága,finomság,a
290,kilométerre,kilométer,re
291,kivásárolták,kivásárol,ták
292,támogatja,támogat,ja
293,hirdeti,hirdet,i
294,csomagtervet,csomagterv,et
295,sokak,sok,ak
296,Lengyelországban,Lengyelország,ban
297,alkalmazottaiból,alkalmazott,aiból
298,okkal,ok,kal
299,szanálásának,szanálás,ának
300,keltették,kelt,ették
301,okai,ok,ai
302,hozza,hoz,za
