,full_word,pt1,rest
0,tryggingagjaldinu,tryggingagjald,inu
1,ríkisstjórnarinnar,ríkisstjórn,arinnar
2,sjáum,sjá,um
3,tryggingagjaldið,tryggingagjald,ið
4,lækkað,lækka,ð
5,langar,langa,r
6,þingi,þing,i
7,nokkurs,nokkur,s
8,samráðs,samráð,s
9,atvinnulífið,atvinnulíf,ið
10,ríkið,ríki,ð
11,tryggingagjaldsins,tryggingagjald,sins
12,starfsendurhæfinguna,starfsendurhæfing,una
13,seinna,seinn,a
14,andsvari,andsvar,i
15,einskærri,einskær,ri
16,skoðað,skoða,ð
17,óvart,óvar,t
18,hugsar,hugsa,r
19,annars,annar,s
20,kynslóðinni,kynslóð,inni
21,spilar,spila,r
22,stóran,stór,an
23,lífi,líf,i
24,minnar,minn,ar
25,kynslóðar,kynslóð,ar
26,staðurinn,staður,inn
27,netinu,net,inu
28,upplýsingar,upplýsing,ar
29,sinnum,sinn,um
30,músinni,mús,inni
31,nái,ná,i
32,hinni,hinn,i
33,komast,koma,st
34,fólkið,fólk,ið
35,undirtektir,undirtekt,ir
36,skuldaleiðréttingarnar,skuldaleiðrétting,arnar
37,þingið,þing,ið
38,máli,mál,i
39,áformum,áform,um
40,framtíðina,framtíð,ina
41,fái,fá,i
42,óvissan,óvissa,n
43,minni,minn,i
44,biðlaði,biðla,ði
45,nefndum,nefnd,um
46,þingsins,þing,sins
47,sannfæringu,sannfæring,u
48,sinni,sinn,i
49,spurninga,spurning,a
50,stjórnmálin,stjórnmál,in
51,virkar,virka,r
52,landsins,land,sins
53,höndin,hönd,in
54,annarri,annar,ri
55,hlustar,hlusta,r
56,hvert,hver,t
57,þjóðar,þjóð,ar
58,stoppar,stoppa,r
59,væntingar,vænting,ar
60,starfi,starf,i
61,talaði,tala,ði
62,stóru,stór,u
63,skuldaniðurfellinguna,skuldaniðurfelling,una
64,þingmaðurinn,þingmaður,inn
65,greiningu,greining,u
66,borgaði,borga,ði
67,sambandi,samband,i
68,inspírerandi,inspírera,ndi
69,hverju,hver,ju
70,ljóst,ljós,t
71,ferlið,ferli,ð
72,uppnámi,uppnám,i
73,skárri,skár,ri
74,varðandi,varða,ndi
75,frumvarpið,frumvarp,ið
76,hverjum,hver,jum
77,gerast,gera,st
78,vitundarvakninguna,vitundarvakning,una
79,kjörtímabili,kjörtímabil,i
80,vitundarvakningu,vitundarvakning,u
81,samstarfi,samstarf,i
82,tárum,tár,um
83,starfinu,starf,inu
84,fjárlagafrumvarpi,fjárlagafrumvarp,i
85,aflað,afla,ð
86,skuldaniðurfellingu,skuldaniðurfelling,u
87,viljað,vilja,ð
88,skulda,skuld,a
89,ríkinu,ríki,nu
90,leiðir,leið,ir
91,fólki,fólk,i
92,seinni,seinn,i
93,spurningar,spurning,ar
94,barnið,barn,ið
95,hliðar,hlið,ar
96,baka,bak,a
97,meðalhófs,meðalhóf,s
98,sjái,sjá,i
99,rekstrarformi,rekstrarform,i
100,skýrum,skýr,um
101,búðum,búð,um
102,hlutinn,hluti,nn
103,málið,mál,ið
104,sátta,sátt,a
105,málinu,mál,inu
106,ríkisstjórnin,ríkisstjórn,in
107,einhverjum,einhver,jum
108,þjóðarinnar,þjóð,arinnar
109,stórum,stór,um
110,sinnis,sinni,s
111,hugsaði,hugsa,ði
112,kyrrt,kyrr,t
113,stóra,stór,a
114,samkomulagi,samkomulag,i
115,nefndin,nefnd,in
116,vantar,vanta,r
117,getað,geta,ð
118,skrifar,skrifa,r
119,nefndarinnar,nefnd,arinnar
120,framhaldinu,framhald,inu
121,svarið,svar,ið
122,skýrt,skýr,t
123,skýrar,skýr,ar
124,háttað,hátta,ð
125,útstillingu,útstilling,u
126,málsins,mál,sins
127,einhverja,einhver,ja
128,aðgengið,aðgengi,ð
129,salan,sala,n
130,breytingu,breyting,u
131,fyrirspurnina,fyrirspurn,ina
132,skýrslan,skýrsla,n
133,ljósi,ljós,i
134,fært,fær,t
135,ætlast,ætla,st
136,þinginu,þing,inu
137,þjóðin,þjóð,in
138,spurninguna,spurning,una
