,full_word,pt1,rest
0,sebuah,se,buah
1,terletak,ter,letak
2,Sebuah,Se,buah
3,serangan,serang,an
4,membakar,mem,bakar
5,penghuni,peng,huni
6,dipakai,di,pakai
7,perusak,pe,rusak
8,bangunan,bangun,an
9,bagian,bagi,an
10,memperparah,memper,parah
11,harapan,harap,an
12,membantu,mem,bantu
13,memberontak,mem,berontak
14,melawan,me,lawan
15,membuat,mem,buat
16,rilisan,rilis,an
17,dimulai,di,mulai
18,gerakan,gerak,an
19,membentuk,mem,bentuk
20,dirintis,di,rintis
21,mengajar,meng,ajar
22,bermula,ber,mula
23,pengujung,peng,ujung
24,menganggap,meng,anggap
25,ajaran,ajar,an
26,bervariasi,ber,variasi
27,aliran,alir,an
28,didesain,di,desain
29,mencapai,men,capai
30,dibuat,di,buat
31,berbeda,ber,beda
32,merebut,me,rebut
33,berkomentar,ber,komentar
34,menjadi,men,jadi
35,penyanyi,pe,nyanyi
36,lakukan,laku,kan
37,mendalam,men,dalam
38,menjabat,men,jabat
39,berisi,ber,isi
40,diambil,di,ambil
41,seorang,se,orang
42,pelatih,pe,latih
43,pemain,pe,main
44,disebut,di,sebut
45,diputar,di,putar
46,penggemar,peng,gemar
47,ujian,uji,an
48,lapangan,lapang,an
49,beralamat,ber,alamat
50,bertahan,ber,tahan
51,beragam,be,ragam
52,himpunan,himpun,an
53,hubungan,hubung,an
54,simpulan,simpul,an
55,berlokasi,ber,lokasi
56,disimpan,di,simpan
57,rupanya,rupa,nya
58,merasa,me,rasa
59,beragama,ber,agama
60,berusaha,ber,usaha
61,membunuh,mem,bunuh
62,sehari-hari,sehari,-hari
63,bersemayam,ber,semayam
64,menjawab,men,jawab
65,bertanya,ber,tanya
66,pikiran,pikir,an
67,laporan,lapor,an
68,membayar,mem,bayar
69,mencari,men,cari
70,pengguna,peng,guna
71,berbagi,ber,bagi
72,pengganti,peng,ganti
73,pencipta,pen,cipta
74,berada,ber,ada
75,diorganisasi,di,organisasi
76,dibentuk,di,bentuk
77,tindakan,tindak,an
78,berlapis,ber,lapis
79,berbentuk,ber,bentuk
80,Membangun,Mem,bangun
81,rekaman,rekam,an
82,mengangkat,meng,angkat
83,bersama,ber,sama
84,kaitan,kait,an
85,berkembang,ber,kembang
86,berlangsung,ber,langsung
87,jurusan,jurus,an
88,bernilai,ber,nilai
89,bertiga,ber,tiga
90,berubah,be,rubah
91,merancang,me,rancang
92,memproduksi,mem,produksi
93,ditulis,di,tulis
94,dibaca,di,baca
95,jalanan,jalan,an
96,membeli,mem,beli
97,bergelar,ber,gelar
98,tuntunan,tuntun,an
99,terkena,ter,kena
100,seseorang,sese,orang
101,beribadah,ber,ibadah
102,menjaga,men,jaga
103,terhindar,ter,hindar
104,ditambah,di,tambah
105,terpilih,ter,pilih
106,bernama,ber,nama
107,berasal,ber,asal
108,makanan,makan,an
109,mengingat,meng,ingat
110,gambaran,gambar,an
111,terbentuk,ter,bentuk
112,mendukung,men,dukung
113,hiburan,hibur,an
114,menggeser,meng,geser
115,dibantu,di,bantu
116,berupaya,ber,upaya
117,bilangan,bilang,an
118,bersedia,ber,sedia
119,dipindah,di,pindah
120,mengalami,meng,alami
121,melacak,me,lacak
122,mengimplan,meng,implan
123,terakhir,ter,akhir
124,terjual,ter,jual
125,disertifikasi,di,sertifikasi
126,mencatat,men,catat
127,bermain,ber,main
128,dianggap,di,anggap
129,menilai,me,nilai
130,berjumlah,ber,jumlah
131,tersebar,ter,sebar
132,terhenti,ter,henti
133,diatur,di,atur
134,terkait,ter,kait
135,diredam,di,redam
136,ditarik,di,tarik
137,berpendapat,berpen,dapat
138,liburan,libur,an
139,bermasalah,ber,masalah
140,dipelopori,di,pelopori
141,pencatu,pen,catu
142,pangkalan,pangkal,an
143,mencuri,men,curi
144,berarti,ber,arti
145,dipuja,di,puja
146,layaknya,layak,nya
147,berjudul,ber,judul
148,bawahan,bawah,an
149,urusan,urus,an
150,pakaian,pakai,an
151,diganti,di,ganti
152,mengubah,meng,ubah
153,didengar,di,dengar
154,berkata,ber,kata
155,bersuku,ber,suku
156,terbesar,ter,besar
157,dibuka,di,buka
158,berdiri,ber,diri
159,peranan,peran,an
160,dilantik,di,lantik
161,dibakar,di,bakar
162,terlihat,ter,lihat
163,menggantung,meng,gantung
164,membulat,mem,bulat
165,mengurus,meng,urus
166,terburu,ter,buru
167,ditelusuri,di,telusuri
168,direbut,di,rebut
169,terionisasi,ter,ionisasi
170,dikenal,di,kenal
171,sesuatu,se,suatu
172,tidaknya,tidak,nya
173,berpindah,ber,pindah
174,diisi,di,isi
175,mengisi,meng,isi
176,jabatan,jabat,an
177,sejumlah,se,jumlah
178,pengrajin,peng,rajin
179,gabungan,gabung,an
180,barisan,baris,an
181,berapi,be,rapi
182,dirilis,di,rilis
183,Kitab-kitab,Kitab-,kitab
184,terbagi,ter,bagi
185,diketahui,di,ketahui
186,Molekul-molekul,Molekul-,molekul
187,terikat,ter,ikat
188,dirujuk,di,rujuk
189,dicela,di,cela
190,berputar,ber,putar
191,pandangan,pandang,an
192,berwenang,ber,wenang
193,diproduksi,di,produksi
194,ditentang,di,tentang
195,dukungan,dukung,an
196,membesar,mem,besar
197,terkejut,ter,kejut
198,melihat,me,lihat
199,dijual,di,jual
200,terdapat,ter,dapat
201,pelaksana,pe,laksana
202,ukuran,ukur,an
203,membawa,mem,bawa
204,melompat,me,lompat
205,menggigit,meng,gigit
206,tujuan,tuju,an
207,dibawah,di,bawah
208,daratan,darat,an
209,berbahasa,ber,bahasa
210,berbuat,ber,buat
211,campuran,campur,an
212,pancaran,pancar,an
213,berencana,be,rencana
214,berupa,be,rupa
215,bergerak,ber,gerak
216,mencetak,men,cetak
217,pendukung,pen,dukung
218,didukung,di,dukung
219,tarian,tari,an
220,menghibur,meng,hibur
221,pembawa,pem,bawa
222,melanggar,me,langgar
223,sebetulnya,sebetul,nya
224,Masing-masing,Masing-,masing
225,pasangan,pasang,an
226,pengusaha,peng,usaha
227,berkantor,ber,kantor
228,Berhasil,Ber,hasil
229,dirancang,di,rancang
230,mengorbit,meng,orbit
231,tertinggi,ter,tinggi
232,dipilih,di,pilih
233,tautan,taut,an
234,ditonton,di,tonton
235,tanaman,tanam,an
236,panduan,pandu,an
237,bantuan,bantu,an
238,kumpulan,kumpul,an
239,digabung,di,gabung
240,diubah,di,ubah
241,tersangka,ter,sangka
242,ditolong,di,tolong
243,beroperasi,ber,operasi
244,berkualitas,ber,kualitas
245,memperoleh,mem,peroleh
246,bersemangat,ber,semangat
247,terdiri,ter,diri
248,terlibat,ter,libat
249,pelajaran,pelajar,an
250,bertingkat,ber,tingkat
251,bertambah,ber,tambah
252,berjumpa,ber,jumpa
253,pengarang,peng,arang
254,mencoba,men,coba
255,tantangan,tantang,an
256,terkendala,ter,kendala
257,hiasan,hias,an
258,bersudut,ber,sudut
259,berakhir,ber,akhir
260,bermakna,ber,makna
261,buatan,buat,an
262,memberi,mem,beri
263,Berbekal,Ber,bekal
264,Mencari,Men,cari
265,merekam,me,rekam
266,jebakan,jebak,an
267,tuliskan,tulis,kan
268,ejekan,ejek,an
269,memulai,me,mulai
270,mengunduh,meng,unduh
271,bermata,ber,mata
272,timbunan,timbun,an
273,lamanya,lama,nya
274,Anggota-anggota,Anggota-,anggota
275,menikah,me,nikah
276,selayaknya,selayak,nya
277,menjelma,men,jelma
278,dipandang,di,pandang
279,Pemain,Pe,main
280,berinteraksi,ber,interaksi
281,muatan,muat,an
282,kendaraan,kendara,an
283,menghadapi,meng,hadapi
284,pelengkap,pe,lengkap
285,sabetan,sabet,an
286,lagaan,laga,an
287,memperkuat,memper,kuat
288,disingkat,di,singkat
289,mencegah,men,cegah
290,peluruh,pe,luruh
291,mengambil,meng,ambil
292,digigit,di,gigit
293,membuka,mem,buka
294,Membatu,Mem,batu
295,berspekulasi,ber,spekulasi
296,mengamati,meng,amati
297,direspon,di,respon
298,berbasis,ber,basis
299,terganggu,ter,ganggu
300,berstatus,ber,status
301,masukkan,masuk,kan
302,Terdapat,Ter,dapat
303,bernyanyi,ber,nyanyi
304,melepas,me,lepas
305,berucap,ber,ucap
306,membangun,mem,bangun
307,berjalan,ber,jalan
308,menjual,men,jual
309,singkatan,singkat,an
310,Warna-warna,Warna-,warna
311,diapit,di,apit
312,melanda,me,landa
313,mengganti,meng,ganti
314,awalan,awal,an
315,akhiran,akhir,an
316,sesampai,se,sampai
317,saluran,salur,an
318,dibawa,di,bawa
319,terlatih,ter,latih
320,kutukan,kutuk,an
321,Kantor-kantor,Kantor-,kantor
322,beralur,ber,alur
323,menghitung,meng,hitung
324,terfermentasi,ter,fermentasi
325,Satu-satu,Satu-,satu
326,berikut,ber,ikut
327,diserap,di,serap
328,merujuk,me,rujuk
329,pelindung,pe,lindung
330,catatan,catat,an
331,berbunyi,ber,bunyi
332,bersumpah,ber,sumpah
333,dikritik,di,kritik
334,karangan,karang,an
335,Dikenal,Di,kenal
336,ditiru,di,tiru
337,tulisan,tulis,an
338,dibilang,di,bilang
339,barangan,barang,an
340,mendarat,men,darat
341,memakan,me,makan
342,membela,mem,bela
343,pelaku,pe,laku
344,dorongan,dorong,an
345,bersepakat,ber,sepakat
346,memodernisasi,me,modernisasi
347,Undang-undang,Undang-,undang
348,awalnya,awal,nya
349,berangsur,ber,angsur
350,mengatur,meng,atur
351,bertempur,ber,tempur
352,dibeli,di,beli
353,dicapai,di,capai
354,menjamin,men,jamin
355,tercapai,ter,capai
356,suaminya,suami,nya
357,terjatuh,ter,jatuh
358,bentangan,bentang,an
359,Mencuci,Men,cuci
360,pembicara,pem,bicara
361,dimengerti,di,mengerti
362,bolak-balik,bolak-,balik
363,diperintah,di,perintah
364,berlebih,ber,lebih
365,mengukur,meng,ukur
366,Terpadu,Ter,padu
367,berdasarkan,berdasar,kan
368,pengatur,peng,atur
369,dirusak,di,rusak
