,full_word,pt1,rest
0,stadfaidh,stad,faidh
1,hoíche,h,oíche
2,dteagmháil,d,teagmháil
3,leis,le,is
4,leaideanna,leaid,eanna
5,don,do,n
6,againn,ag,ainn
7,constaicí,constaic,í
8,gairdeasa,gairdeas,a
9,faoina,faoi,na
10,bláthanna,bláth,anna
11,eachtraí,eachtra,í
12,bíonn,bí,onn
13,ina,i,na
14,más,má,s
15,in,i,n
16,amannaí,am,annaí
17,hiarracht,h,iarracht
18,tuairiscí,tuairisc,í
19,Fíníní,Fínín,í
20,den,de,n
21,faoin,faoi,n
22,gcás,g,cás
23,haonarach,h,aonarach
24,bhfoirgneamh,bh,foirgneamh
25,measfaidh,meas,faidh
26,bhfocal,bh,focal
27,halt,h,alt
28,scoireann,scoir,eann
29,ngníomh,n,gníomh
30,ón,ó,n
31,éagtha,éag,tha
32,lena,le,na
33,haon,h,aon
34,Araibise,Araibis,e
35,áiseanna,áis,eanna
36,gníomhartha,gníomh,artha
37,tríothusan,trí,othusan
38,meallann,meall,ann
39,háthasach,h,áthasach
40,lúdracha,lúdrach,a
41,gcraitheadh,g,craitheadh
42,comhlachtai,comhlacht,ai
43,gcomhar,g,comhar
44,mbealach,m,bealach
45,tíre,tír,e
46,bhfeachtas,bh,feachtas
47,fógraí,fógra,í
48,tseachtain,t,seachtain
49,tacaíochta,tacaíocht,a
50,haghaidh,h,aghaidh
51,age,ag,e
52,agena,ag,ena
53,gcéanna,g,céanna
54,hainnise,h,ainnise
55,leo,le,o
56,muintire,muintir,e
57,chuige,chuig,e
58,móra,mór,a
59,gcúrsa,g,cúrsa
60,breise,breis,e
61,gcumas,g,cumas
62,cótaí,cóta,í
63,Tríonóide,Tríonóid,e
64,gcuid,g,cuid
65,ceapann,ceap,ann
66,gcaoi,g,caoi
67,bpeil,b,peil
68,briseann,bris,eann
69,difríochtaí,difríocht,aí
70,airíonna,airí,onna
71,gruaige,gruaig,e
72,cistine,cistin,e
73,bhfad,bh,fad
74,fágann,fág,ann
75,filleann,fill,eann
76,gcroí,g,croí
77,plandaí,planda,í
78,píosaí,píosa,í
79,tsecoind,t,secoind
80,cumhachta,cumhacht,a
81,úsáidtear,úsáid,tear
82,téarmaí,téarma,í
83,dathanna,dath,anna
84,faightear,faigh,tear
85,tánaisteacha,tánaisteach,a
86,leithéidí,leithéid,í
87,péinte,péint,e
88,sráide,sráid,e
89,heolaíocht,h,eolaíocht
90,beaga,beag,a
91,scéalta,scéal,ta
92,ligtí,lig,tí
93,itheadh,ith,eadh
94,gcaidreamh,g,caidreamh
95,agat,ag,at
96,ndóigh,n,dóigh
97,rudaí,rud,aí
98,scríobhadh,scríobh,adh
99,filíochta,filíocht,a
100,háirithe,h,áirithe
101,arna,ar,na
102,dtaobh,d,taobh
103,déanfaidh,déan,faidh
104,iarrann,iarr,ann
105,ndáil,n,dáil
106,cuirfidh,cuir,fidh
107,ndíthógáil,n,díthógáil
