,full_word,pt1,rest
0,消さされません,消,さされません
1,開かせていただきません,開,かせていただきません
2,おかせていただきました,お,かせていただきました
3,作らせられない,作,らせられない
4,困らせた,困,らせた
5,渡されなかった,渡,されなかった
6,言わなかった,言,わなかった
7,座らせられない,座,らせられない
8,返せなかった,返,せなかった
9,買いたがりません,買,いたがりません
10,居させない,居,させない
11,切らさなかった,切,らさなかった
12,書きたがった,書,きたがった
13,持ちたがりませんでした,持,ちたがりませんでした
14,買います,買,います
15,かしこまらせられました,か,しこまらせられました
16,送りたかったです,送,りたかったです
17,磨かされませんでした,磨,かされませんでした
18,違わしません,違,わしません
19,売れ,売,れ
20,泳がせられませんでした,泳,がせられませんでした
21,洗わせられません,洗,わせられません
22,買わせられない,買,わせられない
23,使えませんでした,使,えませんでした
24,並べなかった,並,べなかった
25,作らせません,作,らせません
26,言わない,言,わない
27,弾かせられません,弾,かせられません
28,飲みたがらなかった,飲,みたがらなかった
29,売らさなかった,売,らさなかった
30,返しませんでした,返,しませんでした
31,死なない,死,なない
32,飲まします,飲,まします
33,知ります,知,ります
34,並んだだろう,並,んだだろう
35,登らす,登,らす
36,履きたがらなかった,履,きたがらなかった
37,登れた,登,れた
38,ありたくない,あ,りたくない
39,ならせられません,な,らせられません
40,並ばされませんでした,並,ばされませんでした
41,張っただろう,張,っただろう
42,歩きたい,歩,きたい
43,歩かないでしょう,歩,かないでしょう
44,居たがりました,居,たがりました
45,寝ただろう,寝,ただろう
46,履かれません,履,かれません
47,送らせない,送,らせない
48,乗らないです,乗,らないです
49,走らせていただいた,走,らせていただいた
50,脱げない,脱,げない
51,会わせていただきました,会,わせていただきました
52,遊ばせていただきます,遊,ばせていただきます
53,働かせられました,働,かせられました
54,歌わせられた,歌,わせられた
55,会わせていただかなかった,会,わせていただかなかった
56,着たくなかった,着,たくなかった
57,入られなかった,入,られなかった
58,着させていただきます,着,させていただきます
59,困らせていただいた,困,らせていただいた
60,読ませられた,読,ませられた
61,出させない,出,させない
62,洗わないで,洗,わないで
63,送らないでしょう,送,らないでしょう
64,張らせられない,張,らせられない
65,待たせていただかなかった,待,たせていただかなかった
66,洗いたくない,洗,いたくない
67,居ましょう,居,ましょう
68,飲みたがった,飲,みたがった
69,持たれます,持,たれます
70,使わせる,使,わせる
71,来させない,来,させない
72,飲まされました,飲,まされました
73,引かれませんでした,引,かれませんでした
74,送りたがります,送,りたがります
75,持ちたいです,持,ちたいです
76,言わせなかった,言,わせなかった
77,見ろ,見,ろ
78,走らしませんでした,走,らしませんでした
79,立ちたがった,立,ちたがった
80,呼ばせていただいた,呼,ばせていただいた
81,乗らされます,乗,らされます
82,働かされなかった,働,かされなかった
83,会わなかったです,会,わなかったです
84,貸せない,貸,せない
85,吹きたい,吹,きたい
86,貸させません,貸,させません
87,頼まします,頼,まします
88,さしたかった,さ,したかった
89,降らせていただきました,降,らせていただきました
90,休ませられませんでした,休,ませられませんでした
91,飲まないで,飲,まないで
92,開かせました,開,かせました
93,住めなかった,住,めなかった
94,開けませんでした,開,けませんでした
95,居ません,居,ません
96,持たれた,持,たれた
97,居なかった,居,なかった
98,休ませられた,休,ませられた
99,死んでください,死,んでください
100,弾かされた,弾,かされた
101,貸せました,貸,せました
102,歌われました,歌,われました
103,撮らされます,撮,らされます
104,おきたいです,お,きたいです
105,住ませていただきませんでした,住,ませていただきませんでした
106,出させていただきます,出,させていただきます
107,させません,さ,せません
108,来られません,来,られません
109,違わせる,違,わせる
110,行かせました,行,かせました
111,取らせていただいた,取,らせていただいた
112,走りませんでした,走,りませんでした
113,立ちたいです,立,ちたいです
114,走らせていただきませんでした,走,らせていただきませんでした
115,呼ばせる,呼,ばせる
116,並ばせた,並,ばせた
117,洗わせられる,洗,わせられる
118,吸いたいです,吸,いたいです
119,買いません,買,いません
120,死なれませんでした,死,なれませんでした
121,登りたくないです,登,りたくないです
122,渡らせます,渡,らせます
123,出さした,出,さした
124,有りたくない,有,りたくない
125,出さされた,出,さされた
126,困りたいです,困,りたいです
127,渡らせていただかない,渡,らせていただかない
128,おかせられる,お,かせられる
129,要らしました,要,らしました
130,咲いて,咲,いて
131,引かないです,引,かないです
132,持たなかったでしょう,持,たなかったでしょう
133,弾かせる,弾,かせる
134,持たされなかった,持,たされなかった
135,歌わせます,歌,わせます
136,知りな,知,りな
137,吸わせませんでした,吸,わせませんでした
138,立たされました,立,たされました
139,飲めます,飲,めます
140,登らせられなかった,登,らせられなかった
141,着ないで,着,ないで
142,鳴かされない,鳴,かされない
143,送ります,送,ります
144,吸わしません,吸,わしません
145,待たせられる,待,たせられる
146,寝させます,寝,させます
147,有らせた,有,らせた
148,洗わされなかった,洗,わされなかった
149,売らされます,売,らされます
150,着かせていただかない,着,かせていただかない
151,入らせられません,入,らせられません
152,違わせられました,違,わせられました
153,乗ってください,乗,ってください
154,脱がせられました,脱,がせられました
155,吹きたがらない,吹,きたがらない
156,入られない,入,られない
157,持たない,持,たない
158,呼ばせられない,呼,ばせられない
159,会いました,会,いました
160,吹かれました,吹,かれました
161,登りませんでした,登,りませんでした
162,切りたくなかったです,切,りたくなかったです
163,入らせない,入,らせない
164,切らないです,切,らないです
165,切りません,切,りません
166,取りたがります,取,りたがります
167,見ささない,見,ささない
168,行かれた,行,かれた
169,降れません,降,れません
170,渡りたい,渡,りたい
171,聞かせられる,聞,かせられる
172,買わした,買,わした
173,持たれました,持,たれました
174,飛ばれた,飛,ばれた
175,話された,話,された
176,咲かされた,咲,かされた
177,着させられた,着,させられた
178,脱がせられませんでした,脱,がせられませんでした
179,違える,違,える
180,頼ませていただきませんでした,頼,ませていただきませんでした
181,磨きたがった,磨,きたがった
182,並びなさい,並,びなさい
183,行かされる,行,かされる
184,かしこまりたいです,か,しこまりたいです
185,歌えませんでした,歌,えませんでした
186,聞かせていただかない,聞,かせていただかない
187,遊ばせる,遊,ばせる
188,やりません,や,りません
189,泳がされる,泳,がされる
190,寝させられた,寝,させられた
191,脱がさなかった,脱,がさなかった
192,弾かれました,弾,かれました
193,有らせない,有,らせない
194,吹かないです,吹,かないです
195,履かせていただきました,履,かせていただきました
196,させませんでした,さ,せませんでした
197,吹かせます,吹,かせます
198,やらないでしょう,や,らないでしょう
199,出ないでください,出,ないでください
200,登った,登,った
201,遊ばせられます,遊,ばせられます
202,遊ばれない,遊,ばれない
203,やられた,や,られた
204,聞け,聞,け
205,撮られました,撮,られました
206,おけます,お,けます
207,登らせられました,登,らせられました
208,帰らさなかった,帰,らさなかった
209,会いたかったです,会,いたかったです
210,吹いた,吹,いた
211,並ばせられる,並,ばせられる
212,吸わす,吸,わす
213,寝ます,寝,ます
214,かしこまらないでしょう,か,しこまらないでしょう
215,渡らせませんでした,渡,らせませんでした
216,鳴かれない,鳴,かれない
217,泳がさなかった,泳,がさなかった
218,張らされません,張,らされません
219,切られます,切,られます
220,冠りたがらない,冠,りたがらない
221,住まされる,住,まされる
222,休みたがりません,休,みたがりません
223,見ささなかった,見,ささなかった
224,歩きたがらない,歩,きたがらない
225,休まれませんでした,休,まれませんでした
226,使えた,使,えた
227,寝たがった,寝,たがった
228,張ろう,張,ろう
229,遊ばなかった,遊,ばなかった
230,送れた,送,れた
231,聞きたい,聞,きたい
232,買いたかった,買,いたかった
233,要らせていただいた,要,らせていただいた
234,要りませんでした,要,りませんでした
235,遊ばないでしょう,遊,ばないでしょう
236,弾かないだろう,弾,かないだろう
237,会わせられる,会,わせられる
238,洗わせませんでした,洗,わせませんでした
239,泳ぎましょう,泳,ぎましょう
240,押さしません,押,さしません
241,飲んで,飲,んで
242,押させられる,押,させられる
243,張りたくなかったです,張,りたくなかったです
244,冠られない,冠,られない
245,会わす,会,わす
246,登らせていただいた,登,らせていただいた
247,なっただろう,な,っただろう
248,呼びたがりました,呼,びたがりました
249,吸わされません,吸,わされません
250,おかさない,お,かさない
251,やれ,や,れ
252,脱げました,脱,げました
253,渡らせなかった,渡,らせなかった
254,寝てください,寝,てください
255,書けた,書,けた
256,来て,来,て
257,押されませんでした,押,されませんでした
258,入らせていただきました,入,らせていただきました
259,着られた,着,られた
260,冠りたがらなかった,冠,りたがらなかった
261,入らせました,入,らせました
262,行かせられなかった,行,かせられなかった
263,要ってください,要,ってください
264,呼ばせない,呼,ばせない
