,full_word,pt1,rest
0,한몸,한,몸
1,퇴계,퇴,계
2,포전,포,전
3,제주도,제,주도
4,이런,이,런
5,서인도,서,인도
6,무애,무,애
7,어찌어찌,어,찌어찌
8,용혹무괴,용,혹무괴
9,각설이,각,설이
10,팩시밀리,팩,시밀리
11,로페스페레스,로,페스페레스
12,명장,명,장
13,노이라트,노,이라트
14,저렇게,저,렇게
15,대번에,대,번에
16,피드백,피,드백
17,기별,기,별
18,윤리,윤,리
19,초소형,초,소형
20,대체출산력,대,체출산력
21,달리기,달,리기
22,가야계,가,야계
23,이행,이,행
24,마애삼존불상,마,애삼존불상
25,윌슨,윌,슨
26,절정,절,정
27,한용운,한,용운
28,싸움,싸,움
29,탑승,탑,승
30,다민족,다,민족
31,근로,근,로
32,따뜻이,따,뜻이
33,아무,아,무
34,라이,라,이
35,사고,사,고
36,희랍,희,랍
37,사항,사,항
38,석남사,석,남사
39,연평균,연,평균
40,청동제,청,동제
41,마치,마,치
42,그런데,그,런데
43,네스,네,스
44,주인,주,인
45,실력자,실,력자
46,장군,장,군
47,변란,변,란
48,자세,자,세
49,안티옥,안,티옥
50,고신뢰화,고,신뢰화
51,울란바토르,울,란바토르
52,천부,천,부
53,고약,고,약
54,왈칵,왈,칵
55,에어로빅장,에,어로빅장
56,화요일,화,요일
57,예정,예,정
58,인구,인,구
59,타치오,타,치오
60,가시내각,가,시내각
61,어깨,어,깨
62,아리아,아,리아
63,관광개발,관,광개발
64,자율신경실조,자,율신경실조
65,본래,본,래
66,보다,보,다
67,결실,결,실
68,생산력,생,산력
69,탁자,탁,자
70,고부,고,부
71,액취증,액,취증
72,중심지,중,심지
73,프린트,프,린트
74,도리,도,리
75,마모,마,모
76,철학사,철,학사
77,자랑,자,랑
78,참으로,참,으로
79,청색,청,색
80,발틱3국,발,틱3국
81,보너스,보,너스
82,산수장,산,수장
83,재건설,재,건설
84,국제화,국,제화
85,정체,정,체
86,철근,철,근
87,그리이스,그,리이스
88,반파,반,파
89,수차,수,차
90,아난타,아,난타
91,기술자,기,술자
92,달리,달,리
93,슬래트,슬,래트
94,오락용,오,락용
95,모랄,모,랄
96,허벅지,허,벅지
97,불덤이,불,덤이
98,광고비,광,고비
99,비로서,비,로서
100,야요이,야,요이
101,가을노래,가,을노래
102,신장,신,장
103,삼진법,삼,진법
104,이공수,이,공수
105,자율성,자,율성
106,세계대전,세,계대전
107,콘스탄티누스,콘,스탄티누스
108,분위기,분,위기
109,대문,대,문
110,별로,별,로
111,사르마트족,사,르마트족
112,연대기,연,대기
113,1백85조,1,백85조
114,요르단,요,르단
115,꽃무늬,꽃,무늬
116,끊임없이,끊,임없이
117,저속,저,속
118,사기,사,기
119,논의,논,의
120,건물,건,물
121,산림녹화,산,림녹화
122,합전,합,전
123,흥망,흥,망
124,백색,백,색
125,하나님,하,나님
126,우회,우,회
127,황제,황,제
128,억압,억,압
129,세칭,세,칭
130,계층,계,층
131,원심력,원,심력
132,열량계,열,량계
133,이리,이,리
134,밀도,밀,도
135,연령별,연,령별
136,선조,선,조
137,실재,실,재
138,계백,계,백
139,저장용,저,장용
140,의사당,의,사당
141,화북,화,북
142,중앙아시아,중,앙아시아
143,제가끔,제,가끔
144,문득,문,득
145,올리브,올,리브
146,합격자,합,격자
147,기독교,기,독교
148,도교도,도,교도
149,김경원,김,경원
150,클레임,클,레임
151,장거리,장,거리
152,황노지학,황,노지학
153,투기,투,기
154,봉기,봉,기
155,적군파,적,군파
156,소시지,소,시지
157,세계,세,계
158,버블,버,블
159,생물,생,물
160,그간,그,간
161,오른쪽,오,른쪽
162,극락,극,락
163,범현전,범,현전
164,판정,판,정
165,며느리,며,느리
166,민족주의,민,족주의
167,시청각실,시,청각실
168,각각,각,각
169,한나라,한,나라
170,동기식,동,기식
171,엄밀히,엄,밀히
172,스탈린주의,스,탈린주의
173,제대로,제,대로
174,세계인,세,계인
175,대종교,대,종교
176,안티고노스,안,티고노스
177,생체,생,체
178,소프트웨어,소,프트웨어
179,게속,게,속
180,총사령탑,총,사령탑
181,지적,지,적
182,혼슈,혼,슈
183,북방,북,방
184,수소,수,소
185,과오,과,오
186,신용카드,신,용카드
187,책자,책,자
188,추정,추,정
189,천억,천,억
190,무척,무,척
191,저금리,저,금리
192,그래도,그,래도
193,치료,치,료
194,줄리아,줄,리아
195,미셸_푸코나,미,셸_푸코나
196,뿌리,뿌,리
197,다도,다,도
198,팥보죽,팥,보죽
199,차지법,차,지법
200,내삼문,내,삼문
201,육체,육,체
202,총화,총,화
203,전망대,전,망대
204,안리루이,안,리루이
205,메소포타미아,메,소포타미아
206,김태향,김,태향
207,가비라,가,비라
208,지역,지,역
209,페어먼트,페,어먼트
210,고지,고,지
211,헤겔,헤,겔
212,수입,수,입
213,여기,여,기
214,유효,유,효
215,활짝,활,짝
216,노왕,노,왕
217,호이겐스,호,이겐스
218,지공,지,공
219,아우,아,우
220,베트남,베,트남
221,업종,업,종
222,북서독,북,서독
223,음료,음,료
224,피서,피,서
225,거부,거,부
226,비타민,비,타민
227,공리주의,공,리주의
228,그러면,그,러면
229,꽃망울,꽃,망울
230,장연,장,연
231,유물론,유,물론
232,역경,역,경
233,세타가야,세,타가야
234,교묘히,교,묘히
235,나루토,나,루토
236,주식회사,주,식회사
237,잡지,잡,지
238,한민족,한,민족
239,왕립,왕,립
240,사로,사,로
241,존로,존,로
242,심리주의,심,리주의
243,방문,방,문
244,디젤,디,젤
245,과학원,과,학원
246,사진집,사,진집
247,수요,수,요
248,감자,감,자
249,치라우라곶,치,라우라곶
250,객관주의,객,관주의
251,미덕,미,덕
252,혼비백산,혼,비백산
253,울릉도,울,릉도
254,곧이곧대로,곧,이곧대로
255,계승,계,승
256,동방정교회,동,방정교회
257,풍문,풍,문
258,과세,과,세
259,전술,전,술
260,색소,색,소
261,올리브색,올,리브색
262,카리,카,리
263,발생시,발,생시
264,이유,이,유
265,너비,너,비
266,평형,평,형
267,케플러,케,플러
268,팔꿈치,팔,꿈치
269,설사,설,사
270,생리,생,리
271,호탄,호,탄
272,본사,본,사
273,반대로,반,대로
274,다리,다,리
275,중년,중,년
276,너희,너,희
277,이동식,이,동식
278,그런대로,그,런대로
279,스포츠,스,포츠
280,서민,서,민
281,태양계,태,양계
282,페리호,페,리호
283,베이비,베,이비
284,운두,운,두
285,한산사,한,산사
286,최남선,최,남선
287,식초,식,초
288,내국인,내,국인
289,객체,객,체
290,수송대,수,송대
291,씨름판,씨,름판
292,메이커,메,이커
293,만남,만,남
294,여성층,여,성층
295,기러기,기,러기
296,수다쟁이,수,다쟁이
297,버나드,버,나드
298,체온,체,온
299,세계론,세,계론
300,만물전,만,물전
301,킬로그램,킬,로그램
302,평등,평,등
303,센세이션,센,세이션
304,진안읍,진,안읍
305,식민,식,민
306,핵심,핵,심
307,애초,애,초
308,법장사,법,장사
309,공식주의,공,식주의
310,루르,루,르
311,도구,도,구
312,모세,모,세
313,백번,백,번
314,지방도,지,방도
315,평준화,평,준화
316,심리,심,리
317,살균제,살,균제
318,열다섯,열,다섯
319,연금사,연,금사
320,서양,서,양
321,신라,신,라
322,마담,마,담
323,외곽,외,곽
324,자산,자,산
325,전원,전,원
326,결점,결,점
327,베네통,베,네통
328,직조기,직,조기
329,색상,색,상
330,12억,1,2억
331,쇠퇴,쇠,퇴
332,외동딸,외,동딸
333,나날,나,날
334,성도,성,도
335,베스트셀러,베,스트셀러
336,장애물,장,애물
337,액면,액,면
338,분별,분,별
339,아에티우스,아,에티우스
340,변혁,변,혁
341,교사직,교,사직
342,선호도,선,호도
343,오류,오,류
344,한두,한,두
345,연향각,연,향각
346,현미깨죽,현,미깨죽
347,오히려,오,히려
348,더욱이,더,욱이
349,워커힐,워,커힐
350,섭씨,섭,씨
351,익산,익,산
352,기계류,기,계류
353,설득력,설,득력
354,전직,전,직
355,모조리,모,조리
356,그리스도,그,리스도
357,습기,습,기
358,승천설,승,천설
359,다공성,다,공성
360,청노루,청,노루
361,하도,하,도
362,불볕,불,볕
363,대기층,대,기층
364,워낙,워,낙
365,이기영,이,기영
366,불소,불,소
367,등급호별,등,급호별
368,주요한,주,요한
369,형태,형,태
370,주나라,주,나라
371,광고,광,고
372,미국산,미,국산
373,간판,간,판
374,물쓰듯,물,쓰듯
375,단추,단,추
376,내룩,내,룩
377,학교,학,교
378,순순히,순,순히
379,2차,2,차
380,기계화,기,계화
381,본부,본,부
382,대각선,대,각선
383,동시전,동,시전
384,그러니,그,러니
385,일찍이,일,찍이
386,한복,한,복
387,두번째,두,번째
388,똑같이,똑,같이
389,사이언스,사,이언스
390,수없이,수,없이
391,한시,한,시
392,연락,연,락
393,서슴없이,서,슴없이
394,아리스토텔레스,아,리스토텔레스
395,골프장,골,프장
396,엊그제,엊,그제
397,보호,보,호
398,다양성,다,양성
399,장미,장,미
400,정서,정,서
401,살며시,살,며시
402,짐승,짐,승
403,교통업,교,통업
404,로마법,로,마법
405,프리드만,프,리드만
406,불평,불,평
407,진시황릉,진,시황릉
408,공갈,공,갈
409,골프,골,프
410,창제,창,제
411,학장,학,장
412,월권,월,권
413,질환,질,환
