,full_word,pt1,rest
0,da-çikandin,da-çikandi,n
1,samagri,samagr,i
2,pêk-hatin,pêk-hat,in
3,hevedudanîn,hevedudanî,n
4,gijgijîn,gijgijî,n
5,da-dan,da-da,n
6,hil-kêþan,hil-kêþa,n
7,xapîn,xapî,n
8,inkei,inke,i
9,wargi,warg,i
10,hil-bijartin,hil-bijarti,n
11,revandin,revandi,n
12,da-hûrandin,da-hûrandi,n
13,hejandin,hejand,in
14,birrîn,birrî,n
15,civîn,civî,n
16,reyan,reya,n
17,da-anîn,da-anî,n
18,eginleiki,eginleik,i
19,girê-dan,girê-da,n
20,pag-aari,pag-aar,i
21,qulibîn,qulibî,n
22,rakirin,rakir,in
23,barîn/barîkiyan,barîn/barîkiya,n
24,fed-kirin,fed-kiri,n
25,ba-dan,ba-da,n
26,gevizîn,gevizî,n
27,barandin,barandi,n
28,guharîn,guharî,n
29,fikirîn,fikirî,n
30,ketin,ket,in
31,qedandin,qedandi,n
32,der-anîn,der-anî,n
33,avêtin,avêt,in
34,alandin,aland,in
35,pengizîn,pengizî,n
36,zivirîn,zivirî,n
37,þewitîn,þewitî,n
38,qîjiyan,qîjiya,n
39,omutunzi,omutunz,i
40,sûstin,sûsti,n
41,ceribandin,ceribandi,n
42,givîn,givî,n
43,nivîsandin,nivîsandi,n
44,da-gerandin,da-gerand,in
45,da-liqiyan,da-liqiya,n
46,lûrîn,lûrî,n
47,tê-ketin,tê-keti,n
48,rabûn,rabû,n
49,kenîn,kenî,n
50,hil-ketin,hil-keti,n
51,ve-xwarin,ve-xwari,n
52,þiqitîn,þiqitî,n
53,þuxulandin,þuxulandi,n
54,xemilandin,xemiland,in
55,rikrikîn,rikrikî,n
56,ber-dan,ber-da,n
57,ponijîn,ponijî,n
58,wergirtin,wergirt,in
59,qefilandin,qefilandi,n
60,beiti,beit,i
61,zûrîn,zûrî,n
62,qelizandin,qelizandi,n
63,pesinandin,pesinandi,n
64,girîn,girî,n
65,ajotin,ajot,in
66,xwendin,xwend,in
67,hârþti,hârþt,i
68,tê-xistin,tê-xisti,n
69,nasandin,nasandi,n
70,qewirandin,qewirand,in
71,skraddari,skraddar,i
72,dizîn,dizî,n
73,der-ketin,der-keti,n
74,hilgirtin,hilgirti,n
75,çûn,çû,n
76,nepixîn,nepixî,n
77,ve-mirandin,ve-mirand,in
78,leyîstin,leyîsti,n
79,kirin,kiri,n
80,vekirin,vekiri,n
81,lûsîn,lûsî,n
82,bersîvandin,bersîvandi,n
83,xistin,xist,in
84,ra-medandin,ra-medand,in
85,ve-ciniqandin,ve-ciniqand,in
86,zeliqîn,zeliqî,n
87,ewtîn,ewtî,n
88,rizan,riza,n
89,livîn,livî,n
90,þûlikîn,þûlikî,n
91,þewitandin,þewitand,in
92,rêtin,rêti,n
93,sandin,sandi,n
94,qehirîn,qehirî,n
95,çilmisandin,çilmisand,in
96,þepîn,þepî,n
97,vê-xistin,vê-xist,in
98,lê-gerîn,lê-gerî,n
99,xuþîn,xuþî,n
100,gujîn,gujî,n
101,þuxulîn,þuxulî,n
102,biliyan,biliya,n
103,xebitîn,xebitî,n
104,giriyan,giriya,n
105,qefilîn,qefilî,n
106,tirakochi,tirakoch,i
107,xwestin,xwest,in
108,kutan,kuta,n
109,çilwilîn,çilwilî,n
110,tirsandin,tirsand,in
111,ricifîn,ricifî,n
112,vemirandin,vemirand,in
113,kiþkiþandin,kiþkiþandi,n
114,qêrîn,qêrî,n
115,lebitîn,lebitî,n
