,full_word,pt1,rest
0,سیاه‌پوستان,سیاه‌پوست,ان
1,روزه‌خواران,روزه‌خوار,ان
2,می‌نهاد,می‌,نهاد
3,دست‌نوشتهٔ,دست‌نوشته,ٔ
4,معلمی,معلم,ی
5,سرحدات,سرحد,ات
6,مرزی,مرز,ی
7,یکشنبهٔ,یکشنبه,ٔ
8,ببارید,ب,بارید
9,تخم‌های,تخم,‌های
10,لالهٔ,لاله,ٔ
11,غرغرهای,غرغر,های
12,غذاهای,غذا,های
13,عطفی,عطف,ی
14,فرمانداران,فرماندار,ان
15,خبرنگاری,خبرنگار,ی
16,دشمنی‌های,دشمنی,‌های
17,الکسای,الکسا,ی
18,پژوهشکدهٔ,پژوهشکده,ٔ
19,مفصلی,مفصل,ی
20,چاپگری,چاپگر,ی
21,گردیده‌اند,گردید,ه‌اند
22,لاله‌های,لاله,‌های
23,شخصیت‌هایی,شخصیت,‌هایی
24,گذرانده,گذراند,ه
25,دیواره‌های,دیواره,‌های
26,بیماری,بیمار,ی
27,مؤذنین,مؤذن,ین
28,بادآوردهٔ,بادآورده,ٔ
29,ملاک‌های,ملاک,‌های
30,دندان‌پزشکان,دندان‌پزشک,ان
31,استوایی,استوا,یی
32,ستون‌هایی,ستون,‌هایی
33,خبرهای,خبر,های
34,برگه‌ها,برگه,‌ها
35,نظام‌های,نظام,‌های
36,درشت‌تر,درشت,‌تر
37,گندیدهٔ,گندیده,ٔ
38,وسوسه‌های,وسوسه,‌های
39,کارگزاری‌های,کارگزاری,‌های
40,مخالفین,مخالف,ین
41,ببخشید,ب,بخشید
42,نکرد,ن,کرد
43,لوچه‌,لوچه,‌
44,اجزایی,اجزا,یی
45,جنگ‌های,جنگ,‌های
46,لذت‌پرستی,لذت‌پرست,ی
47,تکه‌ای,تکه,‌ای
48,دلهره‌ای,دلهره,‌ای
49,دانسته,دانست,ه
50,صیادها,صیاد,ها
51,مسلمان‌ها,مسلمان,‌ها
52,بی‌دریغ‌تر,بی‌دریغ,‌تر
53,فشاری,فشار,ی
54,زبانی,زبان,ی
55,نعمت‌ها,نعمت,‌ها
56,هواکش‌های,هواکش,‌های
57,ریشه‌ای,ریشه,‌ای
58,چیزی,چیز,ی
59,گفتند,گفت,ند
60,برنامه‌ریزی‌های,برنامه‌ریزی,‌های
61,نمازخانهٔ,نمازخانه,ٔ
62,صلحجویانه‌ای,صلحجویانه,‌ای
63,سرشانه‌های,سرشانه,‌های
64,آبی‌رنگی,آبی‌رنگ,ی
65,دکمه‌,دکمه,‌
66,ببرد,ب,برد
67,نعرهٔ,نعره,ٔ
68,رنگ‌ها,رنگ,‌ها
69,گذاشته‌اند,گذاشت,ه‌اند
70,استکان‌ها,استکان,‌ها
71,نیم‌کشیده‌,نیم‌کشیده,‌
72,خلأهای,خلأ,های
73,حاجیان,حاجی,ان
74,سنجاب‌ها,سنجاب,‌ها
75,سرخپوشان,سرخپوش,ان
76,صلیبی‌ای,صلیبی,‌ای
77,مشاجرهٔ,مشاجره,ٔ
78,پیروزمندانه‌ای,پیروزمندانه,‌ای
79,کمپ‌هایی,کمپ,‌هایی
80,اسلحه‌های,اسلحه,‌های
81,خرمایی,خرما,یی
82,بندها,بند,ها
83,وجدان‌ها,وجدان,‌ها
84,بریدم,برید,م
85,گرگ‌ها,گرگ,‌ها
86,شعارگرایان,شعارگرا,یان
87,جانشینی,جانشین,ی
88,کلبهٔ,کلبه,ٔ
89,جوهرهٔ,جوهره,ٔ
90,اعتراضی,اعتراض,ی
91,اصرارها,اصرار,ها
92,خشت‌ها,خشت,‌ها
93,نشناخت,ن,شناخت
94,خشمی,خشم,ی
95,انسانی‌تر,انسانی,‌تر
96,هم‌نوعان,هم‌نوع,ان
97,گسترده‌ام,گسترد,ه‌ام
98,ساعتی,ساعت,ی
99,دوچرخه‌,دوچرخه,‌
100,شرکتهای,شرکت,های
101,شکم‌ها,شکم,‌ها
102,اشتباهی,اشتباه,ی
103,دکورهای,دکور,های
104,دنده‌های,دنده,‌های
105,ریختیم,ریخت,یم
106,زدوده‌اند,زدود,ه‌اند
107,ستوده‌تر,ستوده,‌تر
108,پراکندیم,پراکند,یم
109,توجیهات,توجیه,ات
110,لکه‌هایی,لکه,‌هایی
111,آنجاها,آنجا,ها
112,پرچم‌های,پرچم,‌های
113,جانبی,جانب,ی
114,باورها,باور,ها
115,موضوعاتی,موضوع,اتی
116,تمدن‌های,تمدن,‌های
117,آورده‌ای,آورد,ه‌ای
118,کمترین,کم,ترین
119,می‌پویید,می‌,پویید
120,خواهندساخت,خواهند,ساخت
121,عفونت‌ها,عفونت,‌ها
122,عبادتی,عبادت,ی
123,خللی,خلل,ی
124,دردمندان,دردمند,ان
125,غافلان,غافل,ان
126,محدودی,محدود,ی
127,مبلغی,مبلغ,ی
128,رودهٔ,روده,ٔ
129,دارایی‌,دارایی,‌
130,امپراتورگونهٔ,امپراتورگونه,ٔ
131,سجدهٔ,سجده,ٔ
132,درصدی,درصد,ی
133,پاسخ‌ها,پاسخ,‌ها
134,پیمانی,پیمان,ی
135,بابلی‌ها,بابلی,‌ها
136,خوابانیدم,خوابانید,م
137,خبرنگارانی,خبرنگار,انی
138,برطرف‌کنندهٔ,برطرف‌کننده,ٔ
139,فاسقی,فاسق,ی
140,جشن‌ها,جشن,‌ها
141,سزاوارتر,سزاوار,تر
142,نسنجیده‌ای,نسنجیده,‌ای
143,ترکمن‌ها,ترکمن,‌ها
144,عمرها,عمر,ها
145,لایه‌هایی,لایه,‌هایی
146,تحقیق‌هایی,تحقیق,‌هایی
147,هاله‌ای,هاله,‌ای
148,میله‌های,میله,‌های
149,پف‌کرده‌,پف‌کرده,‌
150,منیت‌های,منیت,‌های
