,full_word,pt1,rest
0,uničenjem,uničenje,m
1,štempselnom,štempsel,nom
2,grofom,grof,om
3,raznolike,raznolik,e
4,šampiona,šampion,a
5,pripravljene,pripravljen,e
6,novosti,novost,i
7,strojev,stroj,ev
8,nepostavljeno,nepostavljen,o
9,afganistanskim,afganistanski,m
10,vodotokov,vodotok,ov
11,orožjem,orožje,m
12,neupravičeno,neupravičen,o
13,reorganizirane,reorganiziran,e
14,zmanjšano,zmanjšan,o
15,galerijami,galerija,mi
16,sestrama,sestra,ma
17,grozljivo,grozljiv,o
18,trudu,trud,u
19,meglenega,meglen,ega
20,zavrnjena,zavrnjen,a
21,oblečeni,oblečen,i
22,politiki,politik,i
23,predpisana,predpisan,a
24,sklepu,sklep,u
25,diamantih,diamant,ih
26,izrečeno,izrečen,o
27,deprivilegiranosti,deprivilegiranost,i
28,zmagovite,zmagovit,e
29,starega,star,ega
30,glasbenega,glasben,ega
31,blokirano,blokiran,o
32,cenenim,cenen,im
33,nedokončanem,nedokončan,em
34,slikam,slika,m
35,povečanega,povečan,ega
36,parlamentu,parlament,u
37,internetu,internet,u
38,praktiki,praktik,i
39,mrki,mrk,i
40,rekordom,rekord,om
41,martinovega,martinov,ega
42,spomine,spomin,e
43,kosmičev,kosmič,ev
44,stihe,stih,e
45,opeklinah,opeklina,h
46,pestmi,pest,mi
47,pričakovano,pričakovan,o
48,nabrkljana,nabrkljan,a
49,nobenih,noben,ih
50,drobtinah,drobtina,h
51,sklopi,sklop,i
52,logotipi,logotip,i
53,bilancah,bilanca,h
54,ravnanjem,ravnanje,m
55,omizjem,omizje,m
56,milo,mil,o
57,zasedenostjo,zasedenost,jo
58,zvrsti,zvrst,i
59,razpravah,razprava,h
60,demokrate,demokrat,e
61,dokumentu,dokument,u
62,goskami,goska,mi
63,zverem,zver,em
64,pesniku,pesnik,u
65,zgledom,zgled,om
66,vetrcu,vetrc,u
67,spoloma,spol,oma
68,oblikah,oblika,h
69,omogočeno,omogočen,o
70,lastniških,lastniški,h
71,pogostih,pogost,ih
72,cenjene,cenjen,e
73,krute,krut,e
74,vodnikih,vodnik,ih
75,trajajoča,trajajoč,a
76,fluorida,fluorid,a
77,dejavnostim,dejavnost,im
78,povečane,povečan,e
79,poraženi,poražen,i
80,prebodeno,preboden,o
81,uspešnosti,uspešnost,i
82,odseku,odsek,u
83,dialogu,dialog,u
84,koordinacijskih,koordinacijski,h
85,ženskah,ženska,h
86,pokalov,pokal,ov
87,prepričani,prepričan,i
88,vzgojiteljevo,vzgojiteljev,o
89,objavljenih,objavljen,ih
90,mediji,medij,i
91,plavi,plav,i
92,spontanih,spontan,ih
93,ugrabljeni,ugrabljen,i
94,propelerji,propeler,ji
95,rastlinami,rastlina,mi
96,bakrene,bakren,e
97,brkljalnike,brkljalnik,e
98,časa,čas,a
99,enakem,enak,em
100,apetitu,apetit,u
101,filozofi,filozof,i
