,full_word,pt1,rest
0,surfistas,surfista,s
1,deberes,deber,es
2,correctoras,corrector,as
3,resolverá,resolver,á
4,engaños,engaño,s
5,cofradías,cofradía,s
6,leridanos,leridano,s
7,alicientes,aliciente,s
8,goleados,goleado,s
9,adjudicatarias,adjudicataria,s
10,oficios,oficio,s
11,verificaría,verificar,ía
12,negociará,negociar,á
13,reyertas,reyerta,s
14,retirará,retirar,á
15,tuyos,tuyo,s
16,pasteleros,pastelero,s
17,representados,representado,s
18,garantías,garantía,s
19,negocios,negocio,s
20,científicos,científico,s
21,catalogarán,catalogar,án
22,células,célula,s
23,izquierdistas,izquierdista,s
24,estructurales,estructural,es
25,monarcas,monarca,s
26,asesinos,asesino,s
27,inmateriales,inmaterial,es
28,isleños,isleño,s
29,cultivadores,cultivador,es
30,altos,alto,s
31,misiles,misil,es
32,flojos,flojo,s
33,muñequitas,muñequita,s
34,despejará,despejar,á
35,visitaron,visitar,on
36,informativos,informativo,s
37,intoxicados,intoxicado,s
38,prolongaría,prolongar,ía
39,mejores,mejor,es
40,cenará,cenar,á
41,ofrecidos,ofrecido,s
42,desempeñaron,desempeñar,on
43,robos,robo,s
44,sumariales,sumarial,es
45,estrellas,estrella,s
46,maniobras,maniobra,s
47,boricuas,boricua,s
48,ayudarán,ayudar,án
49,perfiles,perfil,es
50,sindicatos,sindicato,s
51,empresariales,empresarial,es
52,pertenecerá,pertenecer,á
53,decepcionados,decepcionado,s
54,asientos,asiento,s
55,oficiales,oficial,es
56,apellidos,apellido,s
57,estadistas,estadista,s
58,considerables,considerable,s
59,subastas,subasta,s
60,importaría,importar,ía
61,pecados,pecado,s
62,dejarán,dejar,án
63,renunciara,renunciar,a
64,espesores,espesor,es
65,telescopios,telescopio,s
66,verían,ver,ían
67,conservadora,conservador,a
68,comienzos,comienzo,s
69,semejantes,semejante,s
70,budistas,budista,s
71,comenzara,comenzar,a
72,retoques,retoque,s
73,modificaremos,modificar,emos
74,inexistentes,inexistente,s
75,presionados,presionado,s
76,implicados,implicado,s
77,manifestantes,manifestante,s
78,comenzará,comenzar,á
79,tortillas,tortilla,s
80,declararán,declarar,án
81,ocuparán,ocupar,án
82,alzaron,alzar,on
83,abetos,abeto,s
84,pymes,pyme,s
85,despegara,despegar,a
86,hileras,hilera,s
87,adultos,adulto,s
88,graves,grave,s
89,preocupantes,preocupante,s
90,piponcitos,piponcito,s
91,pesos,peso,s
92,agregaron,agregar,on
93,bisabuelos,bisabuelo,s
94,reclutados,reclutado,s
95,caminaríamos,caminar,íamos
96,crónicos,crónico,s
97,entrevistará,entrevistar,á
98,internacionales,internacional,es
99,acompañados,acompañado,s
100,perdedores,perdedor,es
101,detectaron,detectar,on
102,pies,pie,s
103,intemporales,intemporal,es
104,exaltados,exaltado,s
105,vacunas,vacuna,s
106,dolores,dolor,es
107,pedirá,pedir,á
108,musculares,muscular,es
109,logrados,logrado,s
110,prevalentes,prevalente,s
111,minimizara,minimizar,a
112,muros,muro,s
113,tormentas,tormenta,s
114,sumará,sumar,á
115,retornos,retorno,s
116,debilitados,debilitado,s
117,mucosas,mucosa,s
118,arrojará,arrojar,á
119,conceptos,concepto,s
120,pendientes,pendiente,s
121,unificados,unificado,s
122,acreedores,acreedor,es
123,inexactitudes,inexactitud,es
124,semanales,semanal,es
125,celebrados,celebrado,s
126,salidos,salido,s
127,indulgencias,indulgencia,s
128,desertores,desertor,es
129,dedicados,dedicado,s
130,guitarristas,guitarrista,s
131,actas,acta,s
132,aprovechara,aprovechar,a
133,causará,causar,á
134,farolas,farola,s
135,sucios,sucio,s
136,lucirá,lucir,á
137,cónyuges,cónyuge,s
138,zulúes,zulú,es
139,centrará,centrar,á
140,palizas,paliza,s
141,mercancías,mercancía,s
142,aerolíneas,aerolínea,s
143,extraoficiales,extraoficial,es
144,mis,mi,s
145,cerrara,cerrar,a
146,incrementará,incrementar,á
147,perdonará,perdonar,á
148,teólogos,teólogo,s
149,desempeñaría,desempeñar,ía
150,Todogol.com,Todogol,.com
151,abisales,abisal,es
152,calzados,calzado,s
153,estridencias,estridencia,s
154,sustanciales,sustancial,es
155,constructores,constructor,es
156,culminará,culminar,á
157,normales,normal,es
158,borrascas,borrasca,s
159,tacos,taco,s
160,confianzas,confianza,s
161,acaecidos,acaecido,s
162,lotes,lote,s
163,emigrados,emigrado,s
164,films,film,s
165,matemáticos,matemático,s
166,llegarían,llegar,ían
167,flaquezas,flaqueza,s
168,magistrados,magistrado,s
169,apreciaron,apreciar,on
170,revelaría,revelar,ía
171,ejecutarán,ejecutar,án
172,hilos,hilo,s
173,desacuerdos,desacuerdo,s
174,canalizaron,canalizar,on
175,chiquitas,chiquita,s
176,camuflados,camuflado,s
177,guerrilleros,guerrillero,s
178,integristas,integrista,s
179,electorales,electoral,es
180,ubicuos,ubicuo,s
181,veremos,ver,emos
182,sismológicos,sismológico,s
183,monopolistas,monopolista,s
184,nacionalidades,nacionalidad,es
185,saques,saque,s
186,hechos,hecho,s
187,deportes,deporte,s
188,silos,silo,s
189,tiraron,tirar,on
190,acometidas,acometida,s
191,dificultará,dificultar,á
192,autoproclamaron,autoproclamar,on
193,encontrarían,encontrar,ían
194,nubosidades,nubosidad,es
195,aclarara,aclarar,a
196,expectantes,expectante,s
197,cumpliría,cumplir,ía
198,camareros,camarero,s
199,asfixiantes,asfixiante,s
200,armamentos,armamento,s
201,dígitos,dígito,s
202,dispersaron,dispersar,on
203,músicos,músico,s
204,conservas,conserva,s
205,avalanchas,avalancha,s
206,bajadas,bajada,s
207,errores,error,es
208,nanosegundos,nanosegundo,s
209,valientes,valiente,s
210,espantados,espantado,s
211,divorcios,divorcio,s
212,sudafricanos,sudafricano,s
213,títeres,títere,s
214,dependencias,dependencia,s
215,acertados,acertado,s
216,carburantes,carburante,s
217,festivales,festival,es
218,anticuarios,anticuario,s
219,acompañará,acompañar,á
220,renunciará,renunciar,á
221,pasados,pasado,s
222,finalizara,finalizar,a
223,recurrentes,recurrente,s
224,claros,claro,s
225,displicentes,displicente,s
226,cabildos,cabildo,s
227,insidiosos,insidioso,s
228,continentes,continente,s
229,discurrirá,discurrir,á
230,apiadara,apiadar,a
231,dominadores,dominador,es
232,belgas,belga,s
233,nubes,nube,s
234,taquilleros,taquillero,s
235,hablarán,hablar,án
236,inhabilitados,inhabilitado,s
237,gloriosos,glorioso,s
238,paros,paro,s
239,alimentarios,alimentario,s
240,quejas,queja,s
241,escucharán,escuchar,án
242,defensivos,defensivo,s
243,sorprendidos,sorprendido,s
244,tortugas,tortuga,s
245,mayoritarios,mayoritario,s
246,recogerá,recoger,á
247,protestas,protesta,s
248,olvidaran,olvidar,an
249,mercados,mercado,s
250,bocetos,boceto,s
251,hectáreas,hectárea,s
252,bajos,bajo,s
253,apoyará,apoyar,á
254,normas,norma,s
255,logros,logro,s
256,demandados,demandado,s
257,encargos,encargo,s
258,preciosos,precioso,s
259,malagueños,malagueño,s
260,ventanillas,ventanilla,s
261,geniales,genial,es
262,formara,formar,a
263,estrategias,estrategia,s
264,desviantes,desviante,s
265,festejos,festejo,s
266,acusaron,acusar,on
267,historietas,historieta,s
268,escombros,escombro,s
269,entregaría,entregar,ía
270,participaron,participar,on
271,fértiles,fértil,es
272,momentos,momento,s
273,lemas,lema,s
274,elefantes,elefante,s
275,espejos,espejo,s
276,peneuvistas,peneuvista,s
277,cuotas,cuota,s
278,seminaristas,seminarista,s
279,extranjeros,extranjero,s
280,resistencias,resistencia,s
281,boquenses,boquense,s
282,hídricos,hídrico,s
283,estructuras,estructura,s
284,guardas,guarda,s
285,venideros,venidero,s
286,ataviados,ataviado,s
287,congelará,congelar,á
288,sería,ser,ía
289,igualados,igualado,s
290,activos,activo,s
291,milagros,milagro,s
292,facilidades,facilidad,es
293,llevaron,llevar,on
294,balances,balance,s
295,salpicara,salpicar,a
