,full_word,pt1,rest
0,இல்லாத,இல்,லாத
1,வகையில்,வகை,யில்
2,எடுக்கப்,எடு,க்கப்
3,படும்,படு,ம்
4,என்று,என்,று
5,உறுதியளித்த்,உறுதியளி,த்த்
6,உள்ளார்,உள்,ளார்
7,வரும்,வரு,ம்
8,வளர்ச்சியைக்,வளர்ச்சி,யைக்
9,உள்ள,உள்,ள
10,அமைக்கவ்,அமை,க்கவ்
11,செய்தது,செய்,தது
12,படுகின்றன,படு,கின்றன
13,அமைத்து,அமை,த்து
14,வரிசையில்,வரிசை,யில்
15,அமைக்க,அமை,க்க
16,ஏற்படும்,ஏற்படு,ம்
17,பொதுச்,பொது,ச்
18,உள்ளனர்,உள்,ளனர்
19,ஆய்வுச்,ஆய்வு,ச்
20,உரிமைகளைப்,உரிமை,களைப்
21,பறிக்கும்,பறி,க்கும்
22,உள்ளதால்,உள்,ளதால்
23,வேண்டும்,வேண்டு,ம்
24,விடுத்த்,விடு,த்த்
25,பாதுகாக்க,பாதுகா,க்க
26,ஆய்வுத்,ஆய்வு,த்
27,தனிச்,தனி,ச்
28,உள்ளன,உள்,ளன
29,பகுதியில்,பகுதி,யில்
30,வாழ்ந்தவர்கள்,வாழ்,ந்தவர்கள்
31,பாதுகாத்து,பாதுகா,த்து
32,அப்படிப்,அப்படி,ப்
33,பாதுகாத்த,பாதுகா,த்த
34,அவர்களது,அவர்,களது
35,அகதிகள்,அகதி,கள்
36,மாற்றுகின்ற,மாற்று,கின்ற
37,மத்தியில்,மத்தி,யில்
38,ஆளும்,ஆளு,ம்
39,உள்ளது,உள்,ளது
40,இச்சட்டம்,இச்,சட்டம்
41,குறித்து,குறி,த்து
42,மொழிகளில்,மொழி,களில்
43,நாளிதழ்களில்,நாளிதழ்,களில்
44,விளம்பரப்படுத்தி,விளம்பரப்படு,த்தி
45,பாதுகாக்கப்,பாதுகா,க்கப்
46,நினைவுச்,நினைவு,ச்
47,இல்லை,இல்,லை
48,தொகைய்,தொகை,ய்
49,ஆண்டுகள்,ஆண்டு,கள்
50,சிறைத்,சிறை,த்
51,நிலையில்,நிலை,யில்
52,மூதாதையர்கள்,மூதாதையர்,கள்
53,வாழ்ந்த,வாழ்,ந்த
54,செய்யவ்,செய்,யவ்
55,அறைய்,அறை,ய்
56,அதிகாரிகள்,அதிகாரி,கள்
57,தண்டிக்கப்,தண்டி,க்கப்
58,படுவார்கள்,படு,வார்கள்
59,வாழ்ந்து,வாழ்,ந்து
60,வீடுகள்,வீடு,கள்
61,ஆய்வுத்துறையின்,ஆய்வுத்துறை,யின்
62,இருப்பின்,இரு,ப்பின்
63,இடிப்பதற்க்,இடி,ப்பதற்க்
