,full_word,pt1,rest
0,yendirt,yendirt,
1,yetişmediydik,yetiş,mediydik
2,görmedilerdi,gör,medilerdi
3,yetiştirdilerdi,yetiştir,dilerdi
4,eğiyorsun,eğ,iyorsun
5,yerleşiyorum,yerleş,iyorum
6,ölümsüzleştirmemeliymişsiniz,ölümsüzleştir,memeliymişsiniz
7,yedirteceğim,yedirt,eceğim
8,eriyorsun,er,iyorsun
9,döndürmüyorlarmış,döndür,müyorlarmış
10,yitmezmiş,yit,mezmiş
11,bilemeyin,bile,meyin
12,germediydim,ger,mediydim
13,içmezdin,iç,mezdin
14,yerleşiyormuşuz,yerleş,iyormuşuz
15,gizleniyor,gizlen,iyor
16,istemeliydiniz,iste,meliydiniz
17,sevmemeliymiş,sev,memeliymiş
18,büktürtülmemişmişim,büktürtül,memişmişim
19,söndün,sön,dün
20,pişirirmişsin,pişir,irmişsin
21,büktürteceklerdi,büktürt,eceklerdi
22,değişiyorum,değiş,iyorum
23,serpecektin,serp,ecektin
24,küçülmeyeceksin,küçül,meyeceksin
25,gözlediniz,gözle,diniz
26,ölçtürürüz,ölçtür,ürüz
27,işlemiyorsunuz,işle,miyorsunuz
28,sürüldün,sürül,dün
29,ölçülürmüşsün,ölçül,ürmüşsün
30,içmemişmişim,iç,memişmişim
31,yedirtmemeliydin,yedirt,memeliydin
32,çevirmiyormuşuz,çevir,miyormuşuz
33,bitirttiriyormuş,bitirttir,iyormuş
34,devinmemiştik,devin,memiştik
35,bitirmişler,bitir,mişler
36,öldürtülmemedi,öldürtülme,medi
37,yetiştirecekmişim,yetiştir,ecekmişim
38,yendirtmemeliler,yendirt,memeliler
39,göndermek,gönder,mek
40,seçmişmişim,seç,mişmişim
41,küsmüşsünüz,küs,müşsünüz
42,titreyecektik,titre,yecektik
43,ilklendirmeyecektik,ilklendir,meyecektik
44,süründürürmüşüm,süründür,ürmüşüm
45,bitirttirmeyiz,bitirttir,meyiz
46,iyileştirmedik,iyileştir,medik
47,içmişim,iç,mişim
48,büktürülmüyordum,büktürül,müyordum
49,ittirteceksiniz,ittirt,eceksiniz
50,birleşmiyordum,birleş,miyordum
51,diremediniz,dire,mediniz
52,irdelememeliymişsin,irdele,memeliymişsin
53,gerekmezmişsiniz,gerek,mezmişsiniz
54,sövüyorlar,söv,üyorlar
55,haberleşmiyor,haberleş,miyor
56,beklemişsiniz,bekle,mişsiniz
57,ittirtilmeliymişiz,ittirtil,meliymişiz
58,kötüleştiriyoruz,kötüleştir,iyoruz
59,ittirilmeyeceksin,ittiril,meyeceksin
60,itilmezmişiz,itil,mezmişiz
61,küçülmemiş,küçül,memiş
62,üzülecekmişsin,üzül,ecekmişsin
63,sürüme,sürü,me
64,iyileştirmiyoruz,iyileştir,miyoruz
65,süründürmüyorlarmış,süründür,müyorlarmış
66,değiştirmeyecekmişim,değiştir,meyecekmişim
67,sezermişsiniz,sez,ermişsiniz
68,etkilemeyecek,etkile,meyecek
69,tükürmemeliler,tükür,memeliler
70,benzememeliyiz,benze,memeliyiz
71,dürtmemeliydiniz,dürt,memeliydiniz
72,bütünleştiniz,bütünleş,tiniz
73,ittirirsin,ittir,irsin
74,sezmişiz,sez,mişiz
75,dökmemeliler,dök,memeliler
76,öfkelendiriyorlardı,öfkelendir,iyorlardı
77,gelişmeyeceklerdi,geliş,meyeceklerdi
78,göçecekler,göç,ecekler
79,eğlenmeliydin,eğlen,meliydin
80,yenildiydiniz,yenil,diydiniz
81,şişmemelisiniz,şiş,memelisiniz
82,iletmiyorduk,ilet,miyorduk
83,delirmemişmişim,delir,memişmişim
84,ilerletiyormuşum,ilerlet,iyormuşum
85,bütünleşmeliyiz,bütünleş,meliyiz
86,içermiyormuşuz,içer,miyormuşuz
87,komikleşirdi,komikleş,irdi
88,getirmeyecekti,getir,meyecekti
89,ellemiyorlarmış,elle,miyorlarmış
90,sürülmüşlerdi,sürül,müşlerdi
91,sökmemiştim,sök,memiştim
92,itermişsin,it,ermişsin
93,gelmeyecekmişiz,gel,meyecekmişiz
94,sönmüş,sön,müş
95,verimsizleştirmişlermiş,verimsizleştir,mişlermiş
96,geliştirmediler,geliştir,mediler
97,istememeli,iste,memeli
98,büktürülmüştük,büktürül,müştük
99,ereceğim,er,eceğim
100,eskimiyormuş,eski,miyormuş
101,sürünecektik,sürün,ecektik
102,götürmüşsün,götür,müşsün
103,köpürmeyecekmişsiniz,köpür,meyecekmişsiniz
104,imreniyoruz,imren,iyoruz
105,fakirleştirmemişmişsiniz,fakirleştir,memişmişsiniz
106,izlemeliymişim,izle,meliymişim
107,düzmemişlerdi,düz,memişlerdi
108,yetmemeliydiniz,yet,memeliydiniz
109,bekletmeyiz,beklet,meyiz
110,güzelleştirmiyorum,güzelleştir,miyorum
111,ekşimemeli,ekşi,memeli
112,geciktirmelisin,geciktir,melisin
113,vermeyeceklermiş,ver,meyeceklermiş
114,kesmeliydim,kes,meliydim
115,öğrendiydin,öğren,diydin
116,vermemişiz,ver,memişiz
