,full_word,pt1,rest
0,رہا,رہ,ا
1,کریں_گے,کر,یں_گے
2,کرنے,کر,نے
3,جائے_گا,جا,ئے_گا
4,اپیلیں,اپیل,یں
5,سنی,سن,ی
6,کروائی,کروا,ئی
7,ہےں,ہے,ں
8,کروانا,کروا,نا
9,چکا,چک,ا
10,پڑتی,پڑ,تی
11,حقوق,حق,وق
12,ہوتی,ہو,تی
13,جانے,جا,نے
14,کروایا,کروا,یا
15,ترمیمات,ترمیم,ات
16,کروانے,کروا,نے
17,تنظیموں,تنظیم,وں
18,سرگرمی,سرگرم,ی
19,چلائی,چل,ائی
20,قائدین,قائد,ین
21,نومنتخبہ,نومنتخب,ہ
22,تمناوں,تمنا,وں
23,بتایا,بتا,یا
24,سہ_ماہی,سہ,_ماہی
25,بجے,بج,ے
26,ہوگا,ہو,گا
27,کریں,کر,یں
28,سرپنچس,سرپنچ,س
29,متعلقہ,متعلق,ہ
30,عہدیداروں,عہدیدار,وں
31,انتخابات,انتخاب,ات
32,رہے,رہ,ے
33,ہوگی,ہو,گی
34,تعلقات,تعلق,ات
35,دونوں,دو,نوں
36,ٹیمیں,ٹیم,یں
37,کرتے,کر,تے
38,ہوئے,ہو,ئے
39,جائےگا,جا,ئےگا
40,کرنا,کر,نا
41,جیو,جی,و
42,ہوا,ہو,ا
43,دیکھی,دیکھ,ی
44,رہی,رہ,ی
45,ٹیموں,ٹیم,وں
46,کوششیں,کوشش,یں
47,فرمایا,فرما,یا
48,رکھو,رکھ,و
49,کرو,کر,و
50,رہو,رہ,و
51,پڑھنا,پڑھ,نا
52,رکھتے,رکھ,تے
53,جائے,جا,ئے
54,بچے,بچ,ے
55,آنے,آ,نے
56,فرماتا,فرما,تا
57,پرہیزگاروں,پرہیزگار,وں
58,مشرکین,مشرک,ین
59,کھٹکھٹایا,کھٹکھٹا,یا
60,کھولا,کھول,ا
61,ہونے,ہو,نے
62,آیا,آ,یا
63,چلتے,چل,تے
64,بکریاں,بکری,اں
65,بکریوں,بکری,وں
66,فرمائی,فرما,ئی
67,سنائی,سنا,ئی
68,باتیں,بات,یں
69,ہوئیں,ہو,ئیں
70,مصیبتیں,مصیبت,یں
71,جانا,جا,نا
72,دہشتگردوں,دہشتگرد,وں
73,لانے,لا,نے
74,کوششوں,کوشش,وں
75,خواہشات,خواہش,ات
76,بیانات,بیان,ات
77,سکتی,سک,تی
78,تعلیمات,تعلیم,ات
79,ہواؤں,ہوا,ؤں
80,مقامات,مقام,ات
81,تحقیقات,تحقیق,ات
82,مشکلات,مشکل,ات
83,پڑا,پڑ,ا
84,پڑے,پڑ,ے
85,درختوں,درخت,وں
86,پہنچے,پہنچ,ے
87,سواریوں,سواری,وں
88,آئی,آ,ئی
89,اٹھی,اٹھ,ی
90,مزدوروں,مزدور,وں
91,مکانات,مکان,ات
92,صحافیوں,صحافی,وں
93,رکھنے,رکھ,نے
94,جائیدادوں,جائیداد,وں
95,لائی,لا,ئی
96,انتظامات,انتظام,ات
97,امیدواروں,امیدوار,وں
98,ہونا,ہو,نا
99,دستاویزات,دستاویز,ات
100,ساعتوں,ساعت,وں
101,جائیں,جا,ئیں
102,ہوئی,ہو,ئی
103,ڈالتے,ڈال,تے
104,کھیلے,کھیل,ے
105,دکھائی,دکھا,ئی
106,رہےگی,رہ,ےگی
107,کرنی,کر,نی
108,پڑی,پڑ,ی
109,بدلا,بدل,ا
110,سکتا,سک,تا
111,نشانات,نشان,ات
112,چکے,چک,ے
113,کھلاڑیوں,کھلاڑی,وں
114,خریدا,خرید,ا
115,نشانے,نشان,ے
116,سمجھتا,سمجھ,تا
117,پوچھا,پوچھ,ا
118,سناؤ,سنا,ؤ
119,مرنے,مر,نے
120,دیکھنے,دیکھ,نے
121,نیکیاں,نیکی,اں
122,دیکھو,دیکھ,و
123,دیکھا,دیکھ,ا
124,گناہوں,گناہ,وں
125,اقلیتیں,اقلیت,یں
126,سکتے,سک,تے
127,اقلیتوں,اقلیت,وں
128,اسکیمات,اسکیم,ات
129,خطابات,خطاب,ات
130,رہیں,رہ,یں
131,جانتے,جا,نتے
132,سمجھتی,سمجھ,تی
133,جیتا,جیت,ا
134,جبکہ,جب,کہ
135,کھیلنے,کھیل,نے
136,جیتی,جی,تی
137,محنتوں,محنت,وں
138,پہنچایا,پہنچا,یا
139,ملا,مل,ا
140,چلیے,چل,یے
141,دیکھتے,دیکھ,تے
142,جاؤں,جا,ؤں
143,واقعات,واقع,ات
144,ہوتا,ہو,تا
145,آئے,آ,ئے
146,رشتہ_داروں,رشتہ_دار,وں
147,ٹہرایا,ٹہرا,یا
148,کرے,کر,ے
149,بنانے,بنا,نے
150,لڑکیاں,لڑکی,اں
151,مسلمانوں,مسلمان,وں
152,پڑھنے,پڑھ,نے
153,اُبھارا,اُبھار,ا
154,ملازموں,ملازم,وں
155,آتے,آ,تے
156,امیروں,امیر,وں
157,لاڈلے,لاڈ,لے
158,جاتے,جا,تے
159,پڑھی,پڑھ,ی
160,لکھی,لکھ,ی
161,رکھتی,رکھ,تی
162,مانگوگے,مانگ,وگے
163,ملےگی,مل,ےگی
164,چلے,چل,ے
165,مانگے,مانگ,ے
166,اَڑی,اَڑ,ی
167,بتائی,بتا,ئی
168,تمہاری,تم,ہاری
169,تمہیں,تم,ہیں
170,بھولے,بھول,ے
171,منائی,منا,ئی
172,کاٹا,کاٹ,ا
173,غریبوں,غریب,وں
174,اقدامات,اقدام,ات
175,تمناؤں,تمنا,ؤں
176,کارکنوں,کارکن,وں
177,قیدیوں,قیدی,وں
178,پھلوں,پھل,وں
179,کرےگی,کر,ےگی
180,شکوک,شک,وک
181,جانچا,جانچ,ا
182,اختیارات,اختیار,ات
183,جانی,جا,نی
184,بنایا,بنا,یا
185,رہتا,رہ,تا
186,معاونین,معاون,ین
187,لایا,لا,یا
188,جاننا,جان,نا
189,چاہیں_گے,چاہ,یں_گے
190,پکڑا,پکڑ,ا
191,ریاستوں,ریاست,وں
192,الزامات,الزام,ات
193,سالوں,سال,وں
194,فلموں,فلم,وں
195,رہنے,رہ,نے
196,خبروں,خبر,وں
197,خاندانوں,خاندان,وں
198,اختلافات,اختلاف,ات
199,کہا,کہ,ا
200,بنائیں,بنا,ئیں
201,بنانا,بنا,نا
202,چاہتے,چاہ,تے
203,ہزاروں,ہزار,وں
204,بیٹھے,بیٹھ,ے
205,نوجوانوں,نوجوان,وں
206,اٹھاتے,اٹھا,تے
207,دوسری,دو,سری
208,رکھے,رکھ,ے
209,نوٹوں,نوٹ,وں
210,نمائندوں,نمائند,وں
211,دیمکوں,دیمک,وں
212,بنا,بن,ا
213,بناتے,بنا,تے
214,بناتی,بنا,تی
215,دیکھنا,دیکھ,نا
216,چاہتی,چاہ,تی
217,اٹھاتی,اٹھا,تی
218,گذارنے,گذار,نے
219,داموں,دام,وں
220,لڑکھڑانے,لڑکھڑا,نے
221,بتاتے,بتا,تے
222,تنازعات,تنازع,ات
223,کرےگا,کر,ےگا
224,غزلیں,غزل,یں
225,کریں_گی,کر,یں_گی
226,خوابوں,خواب,وں
227,رچائیگی,رچا,ئیگی
228,لڑکیوں,لڑکی,وں
229,پایا,پا,یا
230,جاتا,جا,تا
231,جانتی,جان,تی
232,گزارنے,گزار,نے
233,پریوں,پری,وں
234,کریںگے,کر,یںگے
235,ڈالنے,ڈال,نے
236,بچانے,بچا,نے
237,عقلمند,عقل,مند
238,سوچا,سوچ,ا
239,ہڈیوں,ہڈی,وں
240,پڑھے,پڑھ,ے
241,ماری,مار,ی
242,چڑھا,چڑھ,ا
243,سوچتا,سوچ,تا
244,بتیاں,بتی,اں
245,ساتھیوں,ساتھی,وں
246,بھائیو,بھائی,و
247,سمجھتے,سمجھ,تے
248,لوگوں,لوگ,وں
249,کرےگا,کرے,گا
250,بدلتی,بدل,تی
251,آئےگی,آ,ئےگی
252,پڑےگا,پڑ,ےگا
253,تینوں,تین,وں
254,حاضردماغی,حاضر,دماغی
255,ملتا,مل,تا
256,ریکارڈس,ریکارڈ,س
257,ڈیلروں,ڈیلر,وں
258,دالیں,دال,یں
259,گیرندوں,گیرند,وں
260,دشواریاں,دشواری,اں
261,سکے,سک,ے
262,جائیگی,جا,ئیگی
263,پہونچانے,پہونچ,انے
264,ماننا,مان,نا
265,ترجیحات,ترجیح,ات
266,شہریوں,شہری,وں
267,ملنے,مل,نے
268,اطلاعات,اطلاع,ات
269,چلتا,چل,تا
270,پائی,پا,ئی
271,جاتی,جا,تی
272,ہمیں,ہم,یں
273,سوچنا,سوچ,نا
274,بعدازاں,بعد,ازاں
275,تفصیلات,تفصیل,ات
276,کرواتے,کروا,تے
277,اصلاحات,اصلاح,ات
278,رکھا,رکھ,ا
279,سارقوں,سارق,وں
280,ٹولیوں,ٹولی,وں
281,لیاپ_ٹاپ,لیاپ,_ٹاپ
282,وارداتوں,واردات,وں
283,پلی,پل,ی
284,حدود,حد,ود
285,وارداتیں,واردات,یں
286,ساکنان,ساکن,ان
287,ٹولیاں,ٹولی,اں
288,جماعتوں,جماعت,وں
289,کرتی,کر,تی
290,پڑیں,پڑ,یں
291,سرکلس,سرکل,س
292,احکامات,احکام,ات
293,لانا,لا,نا
294,سرگرمیوں,سرگرمی,وں
295,اٹھانا,اٹھا,نا
296,کھیلوں,کھیل,وں
297,کھوئی,کھو,ئی
298,بنے,بن,ے
299,بھری,بھر,ی
300,آہوں,آہ,وں
301,چیخیں,چیخ,یں
302,سیاستدانوں,سیاستدان,وں
303,زیادتیوں,زیادتی,وں
304,گولیاں,گولی,اں
305,چلائیں,چلا,ئیں
306,لگی,لگ,ی
307,چھوڑے,چھوڑ,ے
308,ہاتھوں,ہاتھ,وں
309,دبانے,دبا,نے
310,رچائی,رچا,ئی
311,طاقتیں,طاقت,یں
312,سازشوں,سازش,وں
313,ماحولیات,ماحول,یات
314,جنگلات,جنگل,ات
315,ہٹانے,ہٹا,نے
316,حکومتیں,حکومت,یں
317,دبانے,دب,انے
318,اصولوں,اصول,وں
319,زندگیوں,زندگی,وں
320,اثرات,اثر,ات
321,یادوں,یاد,وں
322,کرتا,کر,تا
323,تقریروں,تقریر,وں
324,پارٹیاں,پارٹی,اں
325,جلتے,جل,تے
326,بگاڑنے,بگاڑ,نے
327,کھیلتے,کھیل,تے
328,بہانے,بہا,نے
329,چلانے,چلا,نے
330,چلا,چل,ا
331,ملتی,مل,تی
332,جوڑنے,جوڑ,نے
333,جانی,جان,ی
334,چلائی,چلا,ئی
335,بےفیض,بے,فیض
336,ابھرنے,ابھر,نے
337,مفادپرستی,مفاد,پرستی
338,دلایا,دلا,یا
339,رکنی,رک,نی
340,نشستوں,نشست,وں
341,کارکردگی,کارکرد,گی
342,صورتحال,صورت,حال
343,عازمین,عازم,ین
344,پلانے,پلا,نے
345,پابندی,پابند,ی
346,لائیں,لا,ئیں
347,سکی,سک,ی
348,بدلنے,بدل,نے
349,دکھانے,دکھا,نے
350,رہنا,رہ,نا
351,صفوں,صف,وں
352,پڑے_گا,پڑ,ے_گا
353,منوانے,منوا,نے
354,ڈالی,ڈال,ی
355,دعاؤں,دعا,ؤں
356,کہلاتا,کہلا,تا
357,کھیتوں,کھیت,وں
358,سکا,سک,ا
359,گزرا,گزر,ا
360,جانا,جان,ا
361,عیسائیوں,عیسائی,وں
362,لگے,لگ,ے
363,مارنے,مار,نے
364,جانے,جان,ے
365,کروں,کر,وں
366,جاؤ,جا,ؤ
367,نیک_دل,نیک,_دل
368,پہنچا,پہنچ,ا
369,کھجوروں,کھجور,وں
370,کھائیںگے,کھا,ئیںگے
371,کھائیں_گے,کھا,ئیں_گے
372,انتہاء,انتہا,ء
373,چڑھے,چڑھ,ے
374,گھیرے,گھیر,ے
375,آخرالزماں,آخر,الزماں
376,سننا,سن,نا
377,آقاؤں,آقا,ؤں
378,ہماری,ہم,اری
379,سنتے,سن,تے
380,کھجوریں,کھجور,یں
381,لگا,لگ,ا
382,اکرام,ا,کرام
383,منڈلانے,منڈلا,نے
384,ہٹا,ہٹ,ا
385,لبوں,لب,وں
386,چومنے,چوم,نے
387,دنوں,دن,وں
388,چاہتا,چاہ,تا
389,پائے,پا,ئے
390,گروپس,گروپ,س
391,کاموں,کام,وں
392,لگاتے,لگا,تے
393,اترنے,اتر,نے
394,بنائیں_گے,بنا,ئیں_گے
395,بےجا,بے,جا
396,شادیاں,شادی,اں
397,پڑھا,پڑھ,ا
398,حاضرین,حاضر,ین
399,ہوتے,ہو,تے
400,سیریلوں,سیریل,وں
401,لگتا,لگ,تا
402,عورتوں,عورت,وں
403,غیروں,غیر,وں
404,احساسات,احساس,ات
405,رکھیں,رکھ,یں
406,ہمیں,ہ,میں
407,غیرقوموں,غیرقوم,وں
408,آتی,آ,تی
409,معلومات,معلوم,ات
410,سجنے,سج,نے
411,سنورنے,سنور,نے
412,مرجھائے,مرجھا,ئے
413,پھولوں,پھول,وں
414,ڈالتی,ڈال,تی
415,پڑنے,پڑ,نے
416,شہروں,شہر,وں
417,شاہدین,شاہد,ین
418,ہلاکتوں,ہلاکت,وں
419,بےگھر,بے,گھر
420,وبوہاری,و,بوہاری
421,کرایا,کرا,یا
422,درخواستیں,درخواست,یں
