,full_word,pt1,rest
0,ngumka,ng,umka
1,ayegoba,aye,goba
2,ayehlamba,aye,hlamba
3,zazilala,zazi,lala
4,lāfowunela,lā,fowunela
5,nibelinga,nibe,linga
6,sakhiwa,s,akhiwa
7,ngizoxoxa,ngizo,xoxa
8,bashaya,ba,shaya
9,besindiza,besi,ndiza
10,bebuhamba,bebu,hamba
11,abesebenza,abe,sebenza
12,lwāsebenza,lwā,sebenza
13,ngizoqotha,ngizo,qotha
14,zinika,zi,nika
15,nizolunga,nizo,lunga
16,gqokani,gqoka,ni
17,lāvela,lā,vela
18,kwādla,kwā,dla
19,azoqala,azo,qala
20,enci,e,nci
21,kuyakhiwa,kuy,akhiwa
22,bewuthela,bewu,thela
23,siyamunya,siya,munya
24,bazosondela,bazo,sondela
25,nanithandeka,nani,thandeka
26,yezinganekwane,yez,inganekwane
27,bekhala,be,khala
28,ziyenza,ziy,enza
29,olwezingubo,olwez,ingubo
30,besinga,be,singa
31,yezindlebe,yez,indlebe
32,sāhamba,sā,hamba
33,lāluka,lā,luka
34,ngangimunya,ngangi,munya
35,bazoqotha,bazo,qotha
36,nilobola,ni,lobola
37,lwezinsimbi,lwez,insimbi
38,buzokwandula,buzokw,andula
39,ngāthandana,ngā,thandana
40,ezinkathi,ez,inkathi
41,abezinhlansi,abez,inhlansi
42,ngizokuya,ngizoku,ya
43,bezimbube,bez,imbube
44,yizinhlansi,yiz,inhlansi
45,bāfowuna,bā,fowuna
46,nātha,nā,tha
47,babehlangana,babe,hlangana
48,iyona,iy,ona
49,kwālinda,kwā,linda
50,wayethandeka,waye,thandeka
51,sezimpumulo,sez,impumulo
52,elezintabamlilo,elez,intabamlilo
53,ayelenga,aye,lenga
54,bezinyama,bez,inyama
55,belukha,belu,kha
56,sasiphenduka,sasi,phenduka
57,kuyavela,kuya,vela
58,bengigwaza,bengi,gwaza
59,izobopha,izo,bopha
60,ngizoluka,ngizo,luka
61,sāthandeka,sā,thandeka
62,yisikhova,y,isikhova
63,umude,umu,de
64,bezigqoka,bezi,gqoka
65,uzokupha,uzoku,pha
66,zizokweba,zizokw,eba
67,beyidabula,beyi,dabula
68,bazofowuna,bazo,fowuna
69,ayaqalisa,aya,qalisa
70,bezishaya,bezi,shaya
71,bengikhala,bengi,khala
72,zānuka,zā,nuka
73,omune,omu,ne
74,owezinkathi,owez,inkathi
75,nibehlenga,nibe,hlenga
76,ngangiphalaza,ngangi,phalaza
77,kwamakhaza,kw,amakhaza
78,bābonana,bā,bonana
79,nizobuza,nizo,buza
80,kwakubola,kwaku,bola
81,nizosika,nizo,sika
82,abezindlebe,abez,indlebe
83,beyona,bey,ona
84,nibebola,nibe,bola
85,luzobhalela,luzo,bhalela
86,ngiyaxoxa,ngiya,xoxa
87,kwezimpumulo,kwez,impumulo
88,umntwana,umntwana,
89,bewuthandana,bewu,thandana
90,besizingela,besi,zingela
91,azobopha,azo,bopha
92,luyabhala,luya,bhala
93,kuzohlamba,kuzo,hlamba
94,zazisuza,zazi,suza
95,lubhala,lu,bhala
96,lwalulotha,lwalu,lotha
97,izinyosi,iz,inyosi
98,singani,singa,ni
99,nibafishane,niba,fishane
100,sasidabula,sasi,dabula
101,obezingulube,obez,ingulube
102,becabanga,be,cabanga
103,ngāncela,ngā,ncela
104,qalisa,qalisa,
105,ngukupheka,ng,ukupheka
106,bezimbuzikazi,bez,imbuzikazi
107,bezimbazo,bez,imbazo
108,beyiza,bey,iza
109,sibencela,sibe,ncela
110,ababili,aba,bili
111,kwābonela,kwā,bonela
112,ayaxoxa,aya,xoxa
113,kuzophahla,kuzo,phahla
114,beyihlangana,beyi,hlangana
115,kwakwenda,kwakw,enda
116,zāpenda,zā,penda
117,ukumunya,uku,munya
118,bakhala,ba,khala
119,mangaki,ma,ngaki
120,babunya,babu,nya
121,sibumba,si,bumba
122,kuyahlaba,kuya,hlaba
123,nāguquka,nā,guquka
124,kuzoshona,kuzo,shona
125,awezindawo,awez,indawo
126,liyanika,liya,nika
127,bāklwebha,bā,klwebha
128,obezimpukane,obez,impukane
129,yayihlenga,yayi,hlenga
130,luzosika,luzo,sika
131,beyilwa,beyi,lwa
132,yāfa,yā,fa
133,nanicela,nani,cela
134,uJuni,uJuni,
135,ubemunya,ube,munya
136,ayeba,ay,eba
137,wayeya,waye,ya
138,ayeluma,aye,luma
139,abehlenga,abe,hlenga
140,zizobika,zizo,bika
141,izokufa,izoku,fa
142,okwezinkunzi,okwez,inkunzi
143,zizokutha,zizoku,tha
144,siyafuna,siya,funa
145,sizophuma,sizo,phuma
146,zibetha,zi,betha
147,kumuntu,k,umuntu
148,uyagwaza,uya,gwaza
149,izinkabi,iz,inkabi
150,sezimbabala,sez,imbabala
151,izobetha,izo,betha
152,lābeletha,lā,beletha
153,bayabetha,baya,betha
154,uyathela,uya,thela
155,ayecambalala,aye,cambalala
156,babuthandana,babu,thandana
157,uzolala,uzo,lala
158,zizokwona,zizokw,ona
159,ishaya,i,shaya
160,nibesika,nibe,sika
161,lezintamo,lez,intamo
162,besiguquka,besi,guquka
163,ilibomvu,il,ibomvu
164,āshona,ā,shona
165,liyaphefumula,liya,phefumula
166,intuthu,intuthu,
167,silinga,si,linga
168,okufushane,oku,fushane
169,babuvunguza,babu,vunguza
170,elezimvula,elez,imvula
171,izinga,i,zinga
172,wawuphenduka,wawu,phenduka
173,belaba,bel,aba
174,zazigijima,zazi,gijima
175,beliletha,beli,letha
176,abekhala,abe,khala
177,kukha,ku,kha
178,ngiyakha,ngiy,akha
179,ayedla,aye,dla
180,azokuya,azoku,ya
181,beziphimisa,bezi,phimisa
182,bayatha,baya,tha
183,ngāhlala,ngā,hlala
184,bewulanda,bewu,landa
185,sezimvubu,sez,imvubu
186,ngilanda,ngi,landa
187,sasilima,sasi,lima
188,okwezinkathi,okwez,inkathi
189,bezinhlaba,bez,inhlaba
190,balani,bala,ni
191,izolalela,izo,lalela
192,kumyeni,k,umyeni
193,ngālamba,ngā,lamba
194,bewushisa,bewu,shisa
195,esezimbali,esez,imbali
196,sezimbasa,sez,imbasa
197,mifishane,mi,fishane
198,wawutshala,wawu,tshala
199,bāsuza,bā,suza
200,lājika,lā,jika
201,andula,andula,
202,sinuka,si,nuka
203,niyaklwebha,niya,klwebha
204,belubika,belu,bika
205,ziyatshala,ziya,tshala
206,ngizobonana,ngizo,bonana
207,iphenduka,i,phenduka
208,izindlala,iz,indlala
